"GEO_ID","NAME","B19001G_001E","B19001G_001M","B19001G_001MA","B19001G_001EA","B19001G_002E","B19001G_002EA","B19001G_002M","B19001G_002MA","B19001G_003E","B19001G_003EA","B19001G_003M","B19001G_003MA","B19001G_004E","B19001G_004EA","B19001G_004M","B19001G_004MA","B19001G_005E","B19001G_005EA","B19001G_005M","B19001G_005MA","B19001G_006E","B19001G_006EA","B19001G_006M","B19001G_006MA","B19001G_007E","B19001G_007EA","B19001G_007M","B19001G_007MA","B19001G_008E","B19001G_008EA","B19001G_008M","B19001G_008MA","B19001G_009E","B19001G_009EA","B19001G_009M","B19001G_009MA","B19001G_010E","B19001G_010EA","B19001G_010M","B19001G_010MA","B19001G_011E","B19001G_011EA","B19001G_011M","B19001G_011MA","B19001G_012E","B19001G_012EA","B19001G_012M","B19001G_012MA","B19001G_013E","B19001G_013EA","B19001G_013M","B19001G_013MA","B19001G_014E","B19001G_014EA","B19001G_014M","B19001G_014MA","B19001G_015E","B19001G_015EA","B19001G_015M","B19001G_015MA","B19001G_016E","B19001G_016M","B19001G_016MA","B19001G_016EA","B19001G_017E","B19001G_017EA","B19001G_017M","B19001G_017MA",
"1400000US04001944902","Census Tract 9449.02, Apache County, Arizona","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null",
"1400000US04001945001","Census Tract 9450.01, Apache County, Arizona","9","14","null","null","9","null","14","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null",
"1400000US04001945002","Census Tract 9450.02, Apache County, Arizona","13","10","null","null","5","null","7","null","0","null","13","null","4","null","6","null","0","null","13","null","4","null","5","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null",
"1400000US04001945100","Census Tract 9451, Apache County, Arizona","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null",
"1400000US04001970201","Census Tract 9702.01, Apache County, Arizona","24","23","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","15","null","20","null","9","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null",
"1400000US04001970202","Census Tract 9702.02, Apache County, Arizona","5","9","null","null","0","null","13","null","0","null","13","null","5","null","9","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null",
"1400000US04001970300","Census Tract 9703, Apache County, Arizona","17","20","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","10","null","18","null","7","null","9","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null",
"1400000US04001970501","Census Tract 9705.01, Apache County, Arizona","81","65","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","28","null","45","null","0","null","13","null","36","null","40","null","0","null","13","null","0","null","13","null","0","null","13","null","10","null","12","null","7","null","14","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null",
"1400000US04001970502","Census Tract 9705.02, Apache County, Arizona","42","35","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","4","null","6","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","31","null","31","null","0","null","13","null","0","null","13","null","7","null","13","null","0","13","null","null","0","null","13","null",
"1400000US04003000101","Census Tract 1.01, Cochise County, Arizona","19","15","null","null","0","null","13","null","0","null","13","null","7","null","9","null","0","null","13","null","0","null","13","null","10","null","12","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","2","null","3","null",
"1400000US04003000102","Census Tract 1.02, Cochise County, Arizona","25","36","null","null","2","null","4","null","0","null","13","null","0","null","13","null","0","null","13","null","23","null","35","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null",
"1400000US04003000201","Census Tract 2.01, Cochise County, Arizona","99","63","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","41","null","46","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","35","null","44","null","23","null","24","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null",
"1400000US04003000202","Census Tract 2.02, Cochise County, Arizona","128","74","null","null","57","null","45","null","23","null","40","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","40","null","40","null","3","null","7","null","5","null","11","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null",
"1400000US04003000203","Census Tract 2.03, Cochise County, Arizona","131","95","null","null","0","null","13","null","0","null","13","null","9","null","12","null","0","null","13","null","0","null","13","null","15","null","22","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","46","null","61","null","8","null","15","null","43","null","68","null","0","null","13","null","0","13","null","null","10","null","14","null",
"1400000US04003000301","Census Tract 3.01, Cochise County, Arizona","53","67","null","null","33","null","58","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","20","null","34","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null",
"1400000US04003000303","Census Tract 3.03, Cochise County, Arizona","54","71","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","8","null","14","null","0","null","13","null","0","null","13","null","46","null","72","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null",
"1400000US04003000304","Census Tract 3.04, Cochise County, Arizona","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null",
"1400000US04003000305","Census Tract 3.05, Cochise County, Arizona","82","80","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","12","null","20","null","0","null","13","null","70","null","75","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null",
"1400000US04003000400","Census Tract 4, Cochise County, Arizona","12","13","null","null","0","null","13","null","3","null","6","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","7","null","11","null","0","null","13","null","2","null","4","null","0","13","null","null","0","null","13","null",
"1400000US04003000501","Census Tract 5.01, Cochise County, Arizona","51","50","null","null","10","null","15","null","0","null","13","null","0","null","13","null","3","null","4","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","38","null","46","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null",
"1400000US04003000502","Census Tract 5.02, Cochise County, Arizona","32","24","null","null","0","null","13","null","14","null","16","null","0","null","13","null","0","null","13","null","6","null","10","null","0","null","13","null","0","null","13","null","9","null","16","null","0","null","13","null","0","null","13","null","0","null","13","null","3","null","4","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null",
"1400000US04003000503","Census Tract 5.03, Cochise County, Arizona","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null",
"1400000US04003000600","Census Tract 6, Cochise County, Arizona","120","81","null","null","30","null","48","null","28","null","45","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","20","null","31","null","0","null","13","null","0","null","13","null","11","null","17","null","6","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","25","null","40","null",
"1400000US04003000700","Census Tract 7, Cochise County, Arizona","427","160","null","null","0","null","13","null","43","null","40","null","9","null","14","null","146","null","125","null","0","null","13","null","37","null","52","null","0","null","13","null","32","null","44","null","0","null","13","null","32","null","30","null","16","null","19","null","84","null","63","null","0","null","13","null","28","null","23","null","0","13","null","null","0","null","13","null",
"1400000US04003000800","Census Tract 8, Cochise County, Arizona","301","117","null","null","56","null","70","null","11","null","19","null","0","null","13","null","0","null","13","null","36","null","42","null","0","null","13","null","0","null","13","null","42","null","35","null","22","null","31","null","38","null","63","null","18","null","28","null","33","null","44","null","16","null","26","null","0","null","13","null","29","34","null","null","0","null","13","null",
"1400000US04003000901","Census Tract 9.01, Cochise County, Arizona","183","89","null","null","27","null","36","null","0","null","13","null","42","null","49","null","12","null","21","null","0","null","13","null","0","null","13","null","17","null","25","null","0","null","13","null","0","null","13","null","0","null","13","null","8","null","15","null","0","null","13","null","34","null","46","null","0","null","13","null","43","61","null","null","0","null","13","null",
"1400000US04003000902","Census Tract 9.02, Cochise County, Arizona","172","117","null","null","15","null","20","null","26","null","46","null","29","null","31","null","0","null","13","null","0","null","13","null","11","null","19","null","13","null","20","null","0","null","13","null","0","null","13","null","25","null","42","null","45","null","74","null","1","null","7","null","7","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null",
"1400000US04003001000","Census Tract 10, Cochise County, Arizona","33","39","null","null","16","null","25","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","17","null","29","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null",
"1400000US04003001100","Census Tract 11, Cochise County, Arizona","290","160","null","null","0","null","13","null","68","null","92","null","0","null","13","null","15","null","24","null","36","null","32","null","14","null","20","null","0","null","13","null","32","null","44","null","6","null","12","null","74","null","102","null","6","null","11","null","25","null","25","null","0","null","13","null","14","null","22","null","0","13","null","null","0","null","13","null",
"1400000US04003001200","Census Tract 12, Cochise County, Arizona","146","109","null","null","72","null","72","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","2","null","4","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","10","null","17","null","22","null","30","null","40","null","63","null","0","null","13","null","0","13","null","null","0","null","13","null",
"1400000US04003001301","Census Tract 13.01, Cochise County, Arizona","165","177","null","null","4","null","8","null","0","null","13","null","0","null","13","null","0","null","13","null","18","null","27","null","0","null","13","null","0","null","13","null","14","null","22","null","0","null","13","null","0","null","13","null","0","null","13","null","129","null","174","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null",
"1400000US04003001302","Census Tract 13.02, Cochise County, Arizona","109","57","null","null","49","null","40","null","8","null","13","null","19","null","18","null","5","null","8","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","6","null","8","null","14","null","18","null","0","null","13","null","5","null","7","null","0","null","13","null","0","null","13","null","3","6","null","null","0","null","13","null",
"1400000US04003001401","Census Tract 14.01, Cochise County, Arizona","36","31","null","null","0","null","13","null","0","null","13","null","0","null","13","null","9","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","5","null","9","null","9","null","14","null","0","null","13","null","0","null","13","null","13","null","20","null","0","13","null","null","0","null","13","null",
"1400000US04003001402","Census Tract 14.02, Cochise County, Arizona","4","6","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","4","6","null","null","0","null","13","null",
"1400000US04003001501","Census Tract 15.01, Cochise County, Arizona","293","151","null","null","28","null","48","null","23","null","36","null","0","null","13","null","11","null","19","null","0","null","13","null","158","null","144","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","42","null","51","null","3","null","5","null","0","null","13","null","28","null","42","null","0","13","null","null","0","null","13","null",
"1400000US04003001502","Census Tract 15.02, Cochise County, Arizona","127","91","null","null","21","null","22","null","17","null","26","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","13","null","16","null","0","null","13","null","61","null","81","null","0","null","13","null","15","24","null","null","0","null","13","null",
"1400000US04003001601","Census Tract 16.01, Cochise County, Arizona","89","80","null","null","0","null","13","null","0","null","13","null","0","null","13","null","7","null","20","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","27","null","44","null","7","null","15","null","0","null","13","null","33","null","48","null","15","null","26","null","0","13","null","null","0","null","13","null",
"1400000US04003001602","Census Tract 16.02, Cochise County, Arizona","239","93","null","null","49","null","54","null","0","null","13","null","29","null","42","null","0","null","13","null","31","null","31","null","0","null","13","null","0","null","13","null","12","null","18","null","0","null","13","null","18","null","22","null","8","null","11","null","58","null","47","null","34","null","46","null","0","null","13","null","0","13","null","null","0","null","13","null",
"1400000US04003001701","Census Tract 17.01, Cochise County, Arizona","201","140","null","null","0","null","13","null","0","null","13","null","0","null","13","null","18","null","32","null","0","null","13","null","0","null","13","null","0","null","13","null","19","null","30","null","0","null","13","null","19","null","28","null","0","null","13","null","0","null","13","null","126","null","124","null","0","null","13","null","19","31","null","null","0","null","13","null",
"1400000US04003001702","Census Tract 17.02, Cochise County, Arizona","158","110","null","null","12","null","21","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","12","null","18","null","125","null","101","null","0","null","13","null","0","null","13","null","9","19","null","null","0","null","13","null",
"1400000US04003001703","Census Tract 17.03, Cochise County, Arizona","136","84","null","null","10","null","18","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","21","null","34","null","0","null","13","null","0","null","13","null","0","null","13","null","52","null","54","null","0","null","13","null","53","null","54","null","0","null","13","null","0","13","null","null","0","null","13","null",
"1400000US04003001801","Census Tract 18.01, Cochise County, Arizona","171","114","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","13","null","25","null","21","null","34","null","0","null","13","null","102","null","94","null","19","null","31","null","0","null","13","null","0","null","13","null","0","13","null","null","16","null","27","null",
"1400000US04003001802","Census Tract 18.02, Cochise County, Arizona","89","74","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","33","null","45","null","0","null","13","null","56","null","68","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null",
"1400000US04003001900","Census Tract 19, Cochise County, Arizona","268","129","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","26","null","45","null","0","null","19","null","0","null","19","null","17","null","26","null","0","null","19","null","0","null","19","null","16","null","23","null","63","null","51","null","72","null","82","null","59","42","null","null","15","null","23","null",
"1400000US04003002001","Census Tract 20.01, Cochise County, Arizona","281","148","null","null","0","null","19","null","0","null","19","null","76","null","97","null","18","null","30","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","89","null","110","null","0","null","19","null","0","null","19","null","98","null","97","null","0","null","19","null","0","19","null","null","0","null","19","null",
"1400000US04003002002","Census Tract 20.02, Cochise County, Arizona","309","217","null","null","0","null","13","null","0","null","13","null","11","null","20","null","0","null","13","null","0","null","13","null","0","null","13","null","189","null","199","null","0","null","13","null","30","null","35","null","0","null","13","null","9","null","14","null","25","null","45","null","0","null","13","null","9","null","15","null","36","41","null","null","0","null","13","null",
"1400000US04003002100","Census Tract 21, Cochise County, Arizona","59","62","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","17","null","28","null","0","null","13","null","42","57","null","null","0","null","13","null",
"1400000US04005000100","Census Tract 1, Coconino County, Arizona","40","35","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","5","null","9","null","0","null","13","null","0","null","13","null","23","25","null","null","12","null","21","null",
"1400000US04005000200","Census Tract 2, Coconino County, Arizona","45","36","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","11","null","20","null","0","null","13","null","15","null","22","null","19","null","17","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null",
"1400000US04005000301","Census Tract 3.01, Coconino County, Arizona","62","55","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","53","null","50","null","0","null","13","null","9","null","28","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null",
"1400000US04005000302","Census Tract 3.02, Coconino County, Arizona","252","211","null","null","0","null","13","null","14","null","25","null","13","null","25","null","0","null","13","null","0","null","13","null","0","null","13","null","9","null","17","null","0","null","13","null","0","null","13","null","192","null","203","null","0","null","13","null","0","null","13","null","24","null","33","null","0","null","13","null","0","13","null","null","0","null","13","null",
"1400000US04005000400","Census Tract 4, Coconino County, Arizona","113","89","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","61","null","76","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","11","null","19","null","3","null","7","null","0","null","19","null","38","null","44","null","0","19","null","null","0","null","19","null",
"1400000US04005000500","Census Tract 5, Coconino County, Arizona","101","56","null","null","22","null","20","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","10","null","16","null","0","null","13","null","0","null","13","null","25","null","32","null","0","null","13","null","34","null","31","null","0","null","13","null","0","null","13","null","10","21","null","null","0","null","13","null",
"1400000US04005000601","Census Tract 6.01, Coconino County, Arizona","21","35","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","21","35","null","null","0","null","13","null",
"1400000US04005000602","Census Tract 6.02, Coconino County, Arizona","16","28","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","16","null","28","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null",
"1400000US04005000700","Census Tract 7, Coconino County, Arizona","207","159","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","21","null","32","null","0","null","13","null","8","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","118","null","143","null","7","null","13","null","32","null","32","null","0","null","13","null","21","30","null","null","0","null","13","null",
"1400000US04005000800","Census Tract 8, Coconino County, Arizona","354","160","null","null","71","null","86","null","16","null","25","null","0","null","19","null","0","null","19","null","63","null","79","null","18","null","32","null","40","null","41","null","0","null","19","null","0","null","19","null","26","null","31","null","0","null","19","null","52","null","61","null","0","null","19","null","0","null","19","null","68","70","null","null","0","null","19","null",
