"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"S2301_C01_001E","Total!!Estimate!!Population 16 years and over"
"S2301_C01_001EA","Annotation of Total!!Estimate!!Population 16 years and over"
"S2301_C01_001M","Total!!Margin of Error!!Population 16 years and over"
"S2301_C01_001MA","Annotation of Total!!Margin of Error!!Population 16 years and over"
"S2301_C02_001E","Labor Force Participation Rate!!Estimate!!Population 16 years and over"
"S2301_C02_001M","Labor Force Participation Rate!!Margin of Error!!Population 16 years and over"
"S2301_C02_001MA","Annotation of Labor Force Participation Rate!!Margin of Error!!Population 16 years and over"
"S2301_C02_001EA","Annotation of Labor Force Participation Rate!!Estimate!!Population 16 years and over"
"S2301_C03_001E","Employment/Population Ratio!!Estimate!!Population 16 years and over"
"S2301_C03_001EA","Annotation of Employment/Population Ratio!!Estimate!!Population 16 years and over"
"S2301_C03_001M","Employment/Population Ratio!!Margin of Error!!Population 16 years and over"
"S2301_C03_001MA","Annotation of Employment/Population Ratio!!Margin of Error!!Population 16 years and over"
"S2301_C04_001E","Unemployment rate!!Estimate!!Population 16 years and over"
"S2301_C04_001M","Unemployment rate!!Margin of Error!!Population 16 years and over"
"S2301_C04_001MA","Annotation of Unemployment rate!!Margin of Error!!Population 16 years and over"
"S2301_C04_001EA","Annotation of Unemployment rate!!Estimate!!Population 16 years and over"
"S2301_C01_002E","Total!!Estimate!!AGE!!16 to 19 years"
"S2301_C01_002M","Total!!Margin of Error!!AGE!!16 to 19 years"
"S2301_C01_002MA","Annotation of Total!!Margin of Error!!AGE!!16 to 19 years"
"S2301_C01_002EA","Annotation of Total!!Estimate!!AGE!!16 to 19 years"
"S2301_C02_002E","Labor Force Participation Rate!!Estimate!!AGE!!16 to 19 years"
"S2301_C02_002M","Labor Force Participation Rate!!Margin of Error!!AGE!!16 to 19 years"
"S2301_C02_002MA","Annotation of Labor Force Participation Rate!!Margin of Error!!AGE!!16 to 19 years"
"S2301_C02_002EA","Annotation of Labor Force Participation Rate!!Estimate!!AGE!!16 to 19 years"
"S2301_C03_002E","Employment/Population Ratio!!Estimate!!AGE!!16 to 19 years"
"S2301_C03_002EA","Annotation of Employment/Population Ratio!!Estimate!!AGE!!16 to 19 years"
"S2301_C03_002M","Employment/Population Ratio!!Margin of Error!!AGE!!16 to 19 years"
"S2301_C03_002MA","Annotation of Employment/Population Ratio!!Margin of Error!!AGE!!16 to 19 years"
"S2301_C04_002E","Unemployment rate!!Estimate!!AGE!!16 to 19 years"
"S2301_C04_002M","Unemployment rate!!Margin of Error!!AGE!!16 to 19 years"
"S2301_C04_002MA","Annotation of Unemployment rate!!Margin of Error!!AGE!!16 to 19 years"
"S2301_C04_002EA","Annotation of Unemployment rate!!Estimate!!AGE!!16 to 19 years"
"S2301_C01_003E","Total!!Estimate!!AGE!!20 to 24 years"
"S2301_C01_003M","Total!!Margin of Error!!AGE!!20 to 24 years"
"S2301_C01_003MA","Annotation of Total!!Margin of Error!!AGE!!20 to 24 years"
"S2301_C01_003EA","Annotation of Total!!Estimate!!AGE!!20 to 24 years"
"S2301_C02_003E","Labor Force Participation Rate!!Estimate!!AGE!!20 to 24 years"
"S2301_C02_003M","Labor Force Participation Rate!!Margin of Error!!AGE!!20 to 24 years"
"S2301_C02_003MA","Annotation of Labor Force Participation Rate!!Margin of Error!!AGE!!20 to 24 years"
"S2301_C02_003EA","Annotation of Labor Force Participation Rate!!Estimate!!AGE!!20 to 24 years"
"S2301_C03_003E","Employment/Population Ratio!!Estimate!!AGE!!20 to 24 years"
"S2301_C03_003EA","Annotation of Employment/Population Ratio!!Estimate!!AGE!!20 to 24 years"
"S2301_C03_003M","Employment/Population Ratio!!Margin of Error!!AGE!!20 to 24 years"
"S2301_C03_003MA","Annotation of Employment/Population Ratio!!Margin of Error!!AGE!!20 to 24 years"
"S2301_C04_003E","Unemployment rate!!Estimate!!AGE!!20 to 24 years"
"S2301_C04_003M","Unemployment rate!!Margin of Error!!AGE!!20 to 24 years"
"S2301_C04_003MA","Annotation of Unemployment rate!!Margin of Error!!AGE!!20 to 24 years"
"S2301_C04_003EA","Annotation of Unemployment rate!!Estimate!!AGE!!20 to 24 years"
"S2301_C01_004E","Total!!Estimate!!AGE!!25 to 29 years"
