"GEO_ID","NAME","B19013G_001M","B19013G_001MA","B19013G_001E","B19013G_001EA",
"Geography","Geographic Area Name","Margin of Error!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Estimate!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)",
"1400000US04005001600","Census Tract 16, Coconino County, Arizona","172932","null","9545","null",
"1400000US04005001700","Census Tract 17, Coconino County, Arizona","**","**","-","-",
"1400000US04005002000","Census Tract 20, Coconino County, Arizona","**","**","-","-",
"1400000US04005002100","Census Tract 21, Coconino County, Arizona","101592","null","49401","null",
"1400000US04005002200","Census Tract 22, Coconino County, Arizona","359301","null","32328","null",
"1400000US04005002300","Census Tract 23, Coconino County, Arizona","**","**","-","-",
"1400000US04005942201","Census Tract 9422.01, Coconino County, Arizona","110993","null","39792","null",
"1400000US04005942202","Census Tract 9422.02, Coconino County, Arizona","**","**","-","-",
"1400000US04005944900","Census Tract 9449, Coconino County, Arizona","**","**","-","-",
"1400000US04005945000","Census Tract 9450, Coconino County, Arizona","**","**","-","-",
"1400000US04005945100","Census Tract 9451, Coconino County, Arizona","**","**","-","-",
"1400000US04005945200","Census Tract 9452, Coconino County, Arizona","**","**","-","-",
"1400000US04007000100","Census Tract 1, Gila County, Arizona","**","**","-","-",
"1400000US04007000200","Census Tract 2, Gila County, Arizona","**","**","-","-",
"1400000US04007000301","Census Tract 3.01, Gila County, Arizona","**","**","-","-",
"1400000US04007000302","Census Tract 3.02, Gila County, Arizona","**","**","-","-",
"1400000US04007000400","Census Tract 4, Gila County, Arizona","**","**","-","-",
"1400000US04007000500","Census Tract 5, Gila County, Arizona","9702","null","33750","null",
"1400000US04007000600","Census Tract 6, Gila County, Arizona","**","**","-","-",
"1400000US04007000700","Census Tract 7, Gila County, Arizona","**","**","-","-",
"1400000US04007000800","Census Tract 8, Gila County, Arizona","**","**","-","-",
"1400000US04007000900","Census Tract 9, Gila County, Arizona","**","**","-","-",
"1400000US04007001000","Census Tract 10, Gila County, Arizona","36931","null","34402","null",
"1400000US04007001100","Census Tract 11, Gila County, Arizona","45453","null","78438","null",
"1400000US04007001200","Census Tract 12, Gila County, Arizona","36824","null","4130","null",
"1400000US04007001300","Census Tract 13, Gila County, Arizona","**","**","-","-",
"1400000US04007940200","Census Tract 9402, Gila County, Arizona","**","**","-","-",
"1400000US04007940400","Census Tract 9404, Gila County, Arizona","**","**","-","-",
"1400000US04009940500","Census Tract 9405, Graham County, Arizona","**","**","-","-",
"1400000US04009961100","Census Tract 9611, Graham County, Arizona","**","**","-","-",
"1400000US04009961201","Census Tract 9612.01, Graham County, Arizona","**","**","-","-",
"1400000US04009961202","Census Tract 9612.02, Graham County, Arizona","**","**","-","-",
"1400000US04009961300","Census Tract 9613, Graham County, Arizona","**","**","-","-",
"1400000US04009961400","Census Tract 9614, Graham County, Arizona","**","**","-","-",
"1400000US04009961500","Census Tract 9615, Graham County, Arizona","121906","null","135521","null",
"1400000US04009961600","Census Tract 9616, Graham County, Arizona","**","**","-","-",
"1400000US04009961700","Census Tract 9617, Graham County, Arizona","38855","null","52500","null",
"1400000US04011960100","Census Tract 9601, Greenlee County, Arizona","**","**","-","-",
"1400000US04011960200","Census Tract 9602, Greenlee County, Arizona","91720","null","68083","null",
"1400000US04011960300","Census Tract 9603, Greenlee County, Arizona","**","**","-","-",
"1400000US04012020100","Census Tract 201, La Paz County, Arizona","**","**","-","-",
"1400000US04012020201","Census Tract 202.01, La Paz County, Arizona","**","**","-","-",
"1400000US04012020202","Census Tract 202.02, La Paz County, Arizona","**","**","-","-",
"1400000US04012020501","Census Tract 205.01, La Paz County, Arizona","**","**","-","-",
"1400000US04012020502","Census Tract 205.02, La Paz County, Arizona","**","**","-","-",
"1400000US04012020602","Census Tract 206.02, La Paz County, Arizona","**","**","-","-",
"1400000US04012940200","Census Tract 9402, La Paz County, Arizona","**","**","-","-",
"1400000US04012940300","Census Tract 9403, La Paz County, Arizona","16899","null","23500","null",
"1400000US04012980000","Census Tract 9800, La Paz County, Arizona","**","**","-","-",
"1400000US04013010101","Census Tract 101.01, Maricopa County, Arizona","**","**","-","-",
"1400000US04013010102","Census Tract 101.02, Maricopa County, Arizona","93759","null","140955","null",
"1400000US04013030401","Census Tract 304.01, Maricopa County, Arizona","**","**","-","-",
"1400000US04013030402","Census Tract 304.02, Maricopa County, Arizona","**","**","-","-",
"1400000US04013040502","Census Tract 405.02, Maricopa County, Arizona","8764","null","35250","null",
"1400000US04013040506","Census Tract 405.06, Maricopa County, Arizona","**","**","-","-",
"1400000US04013040507","Census Tract 405.07, Maricopa County, Arizona","**","**","-","-",
"1400000US04013040512","Census Tract 405.12, Maricopa County, Arizona","60875","null","39539","null",
"1400000US04013040513","Census Tract 405.13, Maricopa County, Arizona","**","**","-","-",
"1400000US04013040514","Census Tract 405.14, Maricopa County, Arizona","**","**","-","-",
"1400000US04013040515","Census Tract 405.15, Maricopa County, Arizona","**","**","-","-",
"1400000US04013040516","Census Tract 405.16, Maricopa County, Arizona","**","**","-","-",
"1400000US04013040517","Census Tract 405.17, Maricopa County, Arizona","35228","null","81250","null",
"1400000US04013040518","Census Tract 405.18, Maricopa County, Arizona","55024","null","83212","null",
"1400000US04013040519","Census Tract 405.19, Maricopa County, Arizona","**","**","-","-",
"1400000US04013040520","Census Tract 405.20, Maricopa County, Arizona","**","**","-","-",
"1400000US04013040521","Census Tract 405.21, Maricopa County, Arizona","89725","null","110294","null",
"1400000US04013040522","Census Tract 405.22, Maricopa County, Arizona","**","**","-","-",
"1400000US04013040523","Census Tract 405.23, Maricopa County, Arizona","**","**","-","-",
"1400000US04013040524","Census Tract 405.24, Maricopa County, Arizona","**","**","-","-",
"1400000US04013040525","Census Tract 405.25, Maricopa County, Arizona","**","**","-","-",
"1400000US04013040526","Census Tract 405.26, Maricopa County, Arizona","**","**","-","-",
"1400000US04013040527","Census Tract 405.27, Maricopa County, Arizona","98046","null","128269","null",
"1400000US04013040528","Census Tract 405.28, Maricopa County, Arizona","6384","null","57232","null",
"1400000US04013040529","Census Tract 405.29, Maricopa County, Arizona","**","**","-","-",
"1400000US04013040530","Census Tract 405.30, Maricopa County, Arizona","**","**","-","-",
"1400000US04013040531","Census Tract 405.31, Maricopa County, Arizona","57208","null","27096","null",
"1400000US04013050603","Census Tract 506.03, Maricopa County, Arizona","**","**","-","-",
"1400000US04013050604","Census Tract 506.04, Maricopa County, Arizona","**","**","-","-",
"1400000US04013050605","Census Tract 506.05, Maricopa County, Arizona","60005","null","72386","null",
"1400000US04013050606","Census Tract 506.06, Maricopa County, Arizona","**","**","-","-",
"1400000US04013050607","Census Tract 506.07, Maricopa County, Arizona","118893","null","122569","null",
"1400000US04013050608","Census Tract 506.08, Maricopa County, Arizona","**","**","-","-",
"1400000US04013050609","Census Tract 506.09, Maricopa County, Arizona","11521","null","72120","null",
"1400000US04013050610","Census Tract 506.10, Maricopa County, Arizona","**","**","-","-",
"1400000US04013050611","Census Tract 506.11, Maricopa County, Arizona","**","**","-","-",
"1400000US04013050701","Census Tract 507.01, Maricopa County, Arizona","**","**","-","-",
"1400000US04013050702","Census Tract 507.02, Maricopa County, Arizona","38025","null","49375","null",
"1400000US04013060801","Census Tract 608.01, Maricopa County, Arizona","**","**","-","-",
"1400000US04013060802","Census Tract 608.02, Maricopa County, Arizona","**","**","-","-",
"1400000US04013060901","Census Tract 609.01, Maricopa County, Arizona","22158","null","51875","null",
"1400000US04013060902","Census Tract 609.02, Maricopa County, Arizona","**","**","-","-",
"1400000US04013060903","Census Tract 609.03, Maricopa County, Arizona","**","**","-","-",
"1400000US04013060904","Census Tract 609.04, Maricopa County, Arizona","**","**","-","-",
"1400000US04013061009","Census Tract 610.09, Maricopa County, Arizona","17100","null","73958","null",
"1400000US04013061010","Census Tract 610.10, Maricopa County, Arizona","**","**","-","-",
"1400000US04013061011","Census Tract 610.11, Maricopa County, Arizona","45224","null","46908","null",
"1400000US04013061012","Census Tract 610.12, Maricopa County, Arizona","183726","null","161250","null",
"1400000US04013061013","Census Tract 610.13, Maricopa County, Arizona","**","**","-","-",
"1400000US04013061014","Census Tract 610.14, Maricopa County, Arizona","**","**","-","-",
"1400000US04013061015","Census Tract 610.15, Maricopa County, Arizona","**","**","-","-",
"1400000US04013061016","Census Tract 610.16, Maricopa County, Arizona","**","**","-","-",
"1400000US04013061017","Census Tract 610.17, Maricopa County, Arizona","**","**","-","-",
"1400000US04013061018","Census Tract 610.18, Maricopa County, Arizona","**","**","-","-",
"1400000US04013061019","Census Tract 610.19, Maricopa County, Arizona","**","**","-","-",
"1400000US04013061020","Census Tract 610.20, Maricopa County, Arizona","**","**","-","-",
"1400000US04013061021","Census Tract 610.21, Maricopa County, Arizona","**","**","-","-",
"1400000US04013061022","Census Tract 610.22, Maricopa County, Arizona","91655","null","83125","null",
"1400000US04013061023","Census Tract 610.23, Maricopa County, Arizona","64926","null","71319","null",
"1400000US04013061024","Census Tract 610.24, Maricopa County, Arizona","**","**","-","-",
"1400000US04013061025","Census Tract 610.25, Maricopa County, Arizona","**","**","-","-",
"1400000US04013061026","Census Tract 610.26, Maricopa County, Arizona","**","**","-","-",
"1400000US04013061027","Census Tract 610.27, Maricopa County, Arizona","**","**","-","-",
"1400000US04013061028","Census Tract 610.28, Maricopa County, Arizona","**","**","-","-",
"1400000US04013061029","Census Tract 610.29, Maricopa County, Arizona","22549","null","32625","null",
"1400000US04013061030","Census Tract 610.30, Maricopa County, Arizona","36143","null","73958","null",
"1400000US04013061031","Census Tract 610.31, Maricopa County, Arizona","1706","null","58125","null",
"1400000US04013061032","Census Tract 610.32, Maricopa County, Arizona","**","**","-","-",
"1400000US04013061033","Census Tract 610.33, Maricopa County, Arizona","42439","null","34489","null",
"1400000US04013061034","Census Tract 610.34, Maricopa County, Arizona","16234","null","40658","null",
"1400000US04013061035","Census Tract 610.35, Maricopa County, Arizona","**","**","-","-",
"1400000US04013061036","Census Tract 610.36, Maricopa County, Arizona","**","**","-","-",
"1400000US04013061037","Census Tract 610.37, Maricopa County, Arizona","5795","null","55865","null",
"1400000US04013061038","Census Tract 610.38, Maricopa County, Arizona","71240","null","100357","null",
"1400000US04013061039","Census Tract 610.39, Maricopa County, Arizona","**","**","-","-",
"1400000US04013061040","Census Tract 610.40, Maricopa County, Arizona","945","null","66321","null",
"1400000US04013061041","Census Tract 610.41, Maricopa County, Arizona","32934","null","67308","null",
"1400000US04013061042","Census Tract 610.42, Maricopa County, Arizona","**","**","-","-",
"1400000US04013061043","Census Tract 610.43, Maricopa County, Arizona","**","**","-","-",
"1400000US04013061044","Census Tract 610.44, Maricopa County, Arizona","**","**","-","-",
"1400000US04013061045","Census Tract 610.45, Maricopa County, Arizona","**","**","-","-",
"1400000US04013061046","Census Tract 610.46, Maricopa County, Arizona","**","**","-","-",
"1400000US04013061047","Census Tract 610.47, Maricopa County, Arizona","**","**","-","-",
"1400000US04013061100","Census Tract 611, Maricopa County, Arizona","40209","null","57000","null",
"1400000US04013061200","Census Tract 612, Maricopa County, Arizona","28799","null","9853","null",
"1400000US04013061300","Census Tract 613, Maricopa County, Arizona","**","**","-","-",
"1400000US04013061401","Census Tract 614.01, Maricopa County, Arizona","**","**","-","-",
"1400000US04013061402","Census Tract 614.02, Maricopa County, Arizona","**","**","-","-",
"1400000US04013071503","Census Tract 715.03, Maricopa County, Arizona","**","**","-","-",
"1400000US04013071504","Census Tract 715.04, Maricopa County, Arizona","**","**","-","-",
"1400000US04013071505","Census Tract 715.05, Maricopa County, Arizona","**","**","-","-",
"1400000US04013071506","Census Tract 715.06, Maricopa County, Arizona","**","**","-","-",
"1400000US04013071509","Census Tract 715.09, Maricopa County, Arizona","5070","null","29183","null",
"1400000US04013071510","Census Tract 715.10, Maricopa County, Arizona","**","**","-","-",
"1400000US04013071511","Census Tract 715.11, Maricopa County, Arizona","**","**","-","-",
"1400000US04013071512","Census Tract 715.12, Maricopa County, Arizona","**","**","-","-",
"1400000US04013071513","Census Tract 715.13, Maricopa County, Arizona","**","**","-","-",
"1400000US04013071514","Census Tract 715.14, Maricopa County, Arizona","45624","null","81176","null",
"1400000US04013071515","Census Tract 715.15, Maricopa County, Arizona","**","**","-","-",
"1400000US04013071516","Census Tract 715.16, Maricopa County, Arizona","**","**","-","-",
"1400000US04013071517","Census Tract 715.17, Maricopa County, Arizona","42465","null","66696","null",
"1400000US04013071600","Census Tract 716, Maricopa County, Arizona","**","**","-","-",
"1400000US04013071701","Census Tract 717.01, Maricopa County, Arizona","**","**","-","-",
"1400000US04013071702","Census Tract 717.02, Maricopa County, Arizona","**","**","-","-",
"1400000US04013071801","Census Tract 718.01, Maricopa County, Arizona","13237","null","7692","null",
"1400000US04013071802","Census Tract 718.02, Maricopa County, Arizona","42666","null","13864","null",
"1400000US04013071903","Census Tract 719.03, Maricopa County, Arizona","24391","null","54143","null",
"1400000US04013071906","Census Tract 719.06, Maricopa County, Arizona","2036","null","10313","null",
"1400000US04013071909","Census Tract 719.09, Maricopa County, Arizona","**","**","-","-",
"1400000US04013071910","Census Tract 719.10, Maricopa County, Arizona","63538","null","118466","null",
"1400000US04013071911","Census Tract 719.11, Maricopa County, Arizona","**","**","-","-",
"1400000US04013071912","Census Tract 719.12, Maricopa County, Arizona","**","**","-","-",
"1400000US04013071913","Census Tract 719.13, Maricopa County, Arizona","**","**","-","-",
"1400000US04013071914","Census Tract 719.14, Maricopa County, Arizona","10674","null","50590","null",
"1400000US04013071915","Census Tract 719.15, Maricopa County, Arizona","**","**","-","-",
"1400000US04013082002","Census Tract 820.02, Maricopa County, Arizona","442","null","83627","null",
"1400000US04013082007","Census Tract 820.07, Maricopa County, Arizona","100317","null","64087","null",
"1400000US04013082008","Census Tract 820.08, Maricopa County, Arizona","**","**","-","-",
"1400000US04013082009","Census Tract 820.09, Maricopa County, Arizona","**","**","-","-",
"1400000US04013082010","Census Tract 820.10, Maricopa County, Arizona","**","**","-","-",
"1400000US04013082012","Census Tract 820.12, Maricopa County, Arizona","39145","null","43462","null",
"1400000US04013082016","Census Tract 820.16, Maricopa County, Arizona","87156","null","95577","null",
"1400000US04013082017","Census Tract 820.17, Maricopa County, Arizona","92748","null","66250","null",
"1400000US04013082018","Census Tract 820.18, Maricopa County, Arizona","13617","null","96008","null",
"1400000US04013082019","Census Tract 820.19, Maricopa County, Arizona","**","**","-","-",
"1400000US04013082020","Census Tract 820.20, Maricopa County, Arizona","**","**","-","-",
"1400000US04013082021","Census Tract 820.21, Maricopa County, Arizona","**","**","-","-",
"1400000US04013082022","Census Tract 820.22, Maricopa County, Arizona","22099","null","25179","null",
"1400000US04013082023","Census Tract 820.23, Maricopa County, Arizona","88294","null","26917","null",
"1400000US04013082024","Census Tract 820.24, Maricopa County, Arizona","***","***","2,500-","2,500-",
"1400000US04013082025","Census Tract 820.25, Maricopa County, Arizona","**","**","-","-",
"1400000US04013082026","Census Tract 820.26, Maricopa County, Arizona","**","**","-","-",
"1400000US04013082027","Census Tract 820.27, Maricopa County, Arizona","**","**","-","-",
"1400000US04013082028","Census Tract 820.28, Maricopa County, Arizona","**","**","-","-",
"1400000US04013082203","Census Tract 822.03, Maricopa County, Arizona","26817","null","60698","null",
"1400000US04013082204","Census Tract 822.04, Maricopa County, Arizona","20534","null","24485","null",
"1400000US04013082205","Census Tract 822.05, Maricopa County, Arizona","42915","null","32167","null",
"1400000US04013082206","Census Tract 822.06, Maricopa County, Arizona","**","**","-","-",
"1400000US04013082207","Census Tract 822.07, Maricopa County, Arizona","**","**","-","-",
"1400000US04013082208","Census Tract 822.08, Maricopa County, Arizona","**","**","-","-",
"1400000US04013082209","Census Tract 822.09, Maricopa County, Arizona","**","**","-","-",
"1400000US04013082210","Census Tract 822.10, Maricopa County, Arizona","**","**","-","-",
"1400000US04013082211","Census Tract 822.11, Maricopa County, Arizona","**","**","-","-",
"1400000US04013083000","Census Tract 830, Maricopa County, Arizona","182220","null","112639","null",
"1400000US04013092305","Census Tract 923.05, Maricopa County, Arizona","**","**","-","-",
"1400000US04013092306","Census Tract 923.06, Maricopa County, Arizona","**","**","-","-",
"1400000US04013092307","Census Tract 923.07, Maricopa County, Arizona","37059","null","35071","null",
"1400000US04013092308","Census Tract 923.08, Maricopa County, Arizona","52597","null","38529","null",
"1400000US04013092309","Census Tract 923.09, Maricopa County, Arizona","78878","null","90109","null",
"1400000US04013092311","Census Tract 923.11, Maricopa County, Arizona","**","**","-","-",
"1400000US04013092312","Census Tract 923.12, Maricopa County, Arizona","**","**","-","-",
"1400000US04013092401","Census Tract 924.01, Maricopa County, Arizona","23177","null","8750","null",
"1400000US04013092402","Census Tract 924.02, Maricopa County, Arizona","***","***","2,500-","2,500-",
"1400000US04013092500","Census Tract 925, Maricopa County, Arizona","155337","null","14643","null",
"1400000US04013092600","Census Tract 926, Maricopa County, Arizona","**","**","-","-",
"1400000US04013092705","Census Tract 927.05, Maricopa County, Arizona","1171","null","33548","null",
"1400000US04013092708","Census Tract 927.08, Maricopa County, Arizona","**","**","-","-",
"1400000US04013092709","Census Tract 927.09, Maricopa County, Arizona","**","**","-","-",
"1400000US04013092710","Census Tract 927.10, Maricopa County, Arizona","**","**","-","-",
"1400000US04013092711","Census Tract 927.11, Maricopa County, Arizona","**","**","-","-",
"1400000US04013092712","Census Tract 927.12, Maricopa County, Arizona","82002","null","9583","null",
"1400000US04013092713","Census Tract 927.13, Maricopa County, Arizona","**","**","-","-",
"1400000US04013092715","Census Tract 927.15, Maricopa County, Arizona","50520","null","100139","null",
"1400000US04013092716","Census Tract 927.16, Maricopa County, Arizona","109526","null","49946","null",
"1400000US04013092717","Census Tract 927.17, Maricopa County, Arizona","10437","null","32188","null",
"1400000US04013092718","Census Tract 927.18, Maricopa County, Arizona","**","**","-","-",
"1400000US04013092719","Census Tract 927.19, Maricopa County, Arizona","**","**","-","-",
"1400000US04013092720","Census Tract 927.20, Maricopa County, Arizona","8934","null","40926","null",
"1400000US04013092721","Census Tract 927.21, Maricopa County, Arizona","**","**","-","-",
"1400000US04013092723","Census Tract 927.23, Maricopa County, Arizona","167875","null","9886","null",
"1400000US04013092724","Census Tract 927.24, Maricopa County, Arizona","**","**","-","-",
"1400000US04013092801","Census Tract 928.01, Maricopa County, Arizona","***","***","2,500-","2,500-",
"1400000US04013092802","Census Tract 928.02, Maricopa County, Arizona","**","**","-","-",
"1400000US04013092900","Census Tract 929, Maricopa County, Arizona","**","**","-","-",
"1400000US04013093001","Census Tract 930.01, Maricopa County, Arizona","**","**","-","-",
"1400000US04013093002","Census Tract 930.02, Maricopa County, Arizona","57711","null","24688","null",
"1400000US04013093101","Census Tract 931.01, Maricopa County, Arizona","8556","null","37708","null",
"1400000US04013093104","Census Tract 931.04, Maricopa County, Arizona","**","**","-","-",
"1400000US04013093105","Census Tract 931.05, Maricopa County, Arizona","80088","null","62768","null",
"1400000US04013093106","Census Tract 931.06, Maricopa County, Arizona","**","**","-","-",
"1400000US04013093200","Census Tract 932, Maricopa County, Arizona","**","**","-","-",
"1400000US04013103205","Census Tract 1032.05, Maricopa County, Arizona","**","**","-","-",
"1400000US04013103206","Census Tract 1032.06, Maricopa County, Arizona","**","**","-","-",
"1400000US04013103207","Census Tract 1032.07, Maricopa County, Arizona","**","**","-","-",
"1400000US04013103208","Census Tract 1032.08, Maricopa County, Arizona","**","**","-","-",
"1400000US04013103209","Census Tract 1032.09, Maricopa County, Arizona","**","**","-","-",
"1400000US04013103210","Census Tract 1032.10, Maricopa County, Arizona","71115","null","70132","null",
"1400000US04013103211","Census Tract 1032.11, Maricopa County, Arizona","170241","null","178083","null",
"1400000US04013103212","Census Tract 1032.12, Maricopa County, Arizona","**","**","-","-",
"1400000US04013103214","Census Tract 1032.14, Maricopa County, Arizona","**","**","-","-",
"1400000US04013103215","Census Tract 1032.15, Maricopa County, Arizona","**","**","-","-",
"1400000US04013103216","Census Tract 1032.16, Maricopa County, Arizona","**","**","-","-",
"1400000US04013103217","Census Tract 1032.17, Maricopa County, Arizona","139133","null","134415","null",
"1400000US04013103219","Census Tract 1032.19, Maricopa County, Arizona","**","**","-","-",
"1400000US04013103220","Census Tract 1032.20, Maricopa County, Arizona","**","**","-","-",
"1400000US04013103302","Census Tract 1033.02, Maricopa County, Arizona","66622","null","112649","null",
"1400000US04013103303","Census Tract 1033.03, Maricopa County, Arizona","9816","null","45833","null",
"1400000US04013103304","Census Tract 1033.04, Maricopa County, Arizona","27112","null","50234","null",
"1400000US04013103305","Census Tract 1033.05, Maricopa County, Arizona","**","**","-","-",
"1400000US04013103306","Census Tract 1033.06, Maricopa County, Arizona","41937","null","24821","null",
"1400000US04013103400","Census Tract 1034, Maricopa County, Arizona","25786","null","42031","null",
"1400000US04013103501","Census Tract 1035.01, Maricopa County, Arizona","**","**","-","-",
"1400000US04013103502","Census Tract 1035.02, Maricopa County, Arizona","**","**","-","-",
"1400000US04013103604","Census Tract 1036.04, Maricopa County, Arizona","**","**","-","-",
"1400000US04013103605","Census Tract 1036.05, Maricopa County, Arizona","536139","null","19737","null",
"1400000US04013103606","Census Tract 1036.06, Maricopa County, Arizona","**","**","-","-",
"1400000US04013103607","Census Tract 1036.07, Maricopa County, Arizona","235711","null","74485","null",
"1400000US04013103608","Census Tract 1036.08, Maricopa County, Arizona","55929","null","67868","null",
"1400000US04013103609","Census Tract 1036.09, Maricopa County, Arizona","38771","null","22093","null",
"1400000US04013103611","Census Tract 1036.11, Maricopa County, Arizona","105706","null","74295","null",
"1400000US04013103612","Census Tract 1036.12, Maricopa County, Arizona","**","**","-","-",
"1400000US04013103614","Census Tract 1036.14, Maricopa County, Arizona","**","**","-","-",
"1400000US04013103615","Census Tract 1036.15, Maricopa County, Arizona","**","**","-","-",
"1400000US04013103701","Census Tract 1037.01, Maricopa County, Arizona","**","**","-","-",
"1400000US04013103702","Census Tract 1037.02, Maricopa County, Arizona","**","**","-","-",
"1400000US04013103900","Census Tract 1039, Maricopa County, Arizona","**","**","-","-",
