"GEO_ID","NAME","B19013G_001E","B19013G_001EA","B19013G_001M","B19013G_001MA",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)",
"1400000US04001942600","Census Tract 9426, Apache County, Arizona","-","-","**","**",
"1400000US04001942700","Census Tract 9427, Apache County, Arizona","-","-","**","**",
"1400000US04001944000","Census Tract 9440, Apache County, Arizona","-","-","**","**",
"1400000US04001944100","Census Tract 9441, Apache County, Arizona","-","-","**","**",
"1400000US04001944201","Census Tract 9442.01, Apache County, Arizona","-","-","**","**",
"1400000US04001944202","Census Tract 9442.02, Apache County, Arizona","-","-","**","**",
"1400000US04001944301","Census Tract 9443.01, Apache County, Arizona","-","-","**","**",
"1400000US04001944302","Census Tract 9443.02, Apache County, Arizona","-","-","**","**",
"1400000US04001944901","Census Tract 9449.01, Apache County, Arizona","93750","null","53231","null",
"1400000US04001944902","Census Tract 9449.02, Apache County, Arizona","-","-","**","**",
"1400000US04001945001","Census Tract 9450.01, Apache County, Arizona","-","-","**","**",
"1400000US04001945002","Census Tract 9450.02, Apache County, Arizona","18438","null","14414","null",
"1400000US04001945100","Census Tract 9451, Apache County, Arizona","-","-","**","**",
"1400000US04001970201","Census Tract 9702.01, Apache County, Arizona","-","-","**","**",
"1400000US04001970202","Census Tract 9702.02, Apache County, Arizona","-","-","**","**",
"1400000US04001970300","Census Tract 9703, Apache County, Arizona","-","-","**","**",
"1400000US04001970501","Census Tract 9705.01, Apache County, Arizona","35868","null","6455","null",
"1400000US04001970502","Census Tract 9705.02, Apache County, Arizona","73250","null","4554","null",
"1400000US04003000101","Census Tract 1.01, Cochise County, Arizona","31250","null","10628","null",
"1400000US04003000102","Census Tract 1.02, Cochise County, Arizona","-","-","**","**",
"1400000US04003000201","Census Tract 2.01, Cochise County, Arizona","70607","null","51980","null",
"1400000US04003000202","Census Tract 2.02, Cochise County, Arizona","-","-","**","**",
"1400000US04003000203","Census Tract 2.03, Cochise County, Arizona","-","-","**","**",
"1400000US04003000301","Census Tract 3.01, Cochise County, Arizona","-","-","**","**",
"1400000US04003000303","Census Tract 3.03, Cochise County, Arizona","-","-","**","**",
"1400000US04003000304","Census Tract 3.04, Cochise County, Arizona","-","-","**","**",
"1400000US04003000305","Census Tract 3.05, Cochise County, Arizona","-","-","**","**",
"1400000US04003000400","Census Tract 4, Cochise County, Arizona","86071","null","62972","null",
"1400000US04003000501","Census Tract 5.01, Cochise County, Arizona","70679","null","6063","null",
"1400000US04003000502","Census Tract 5.02, Cochise County, Arizona","-","-","**","**",
"1400000US04003000503","Census Tract 5.03, Cochise County, Arizona","-","-","**","**",
"1400000US04003000600","Census Tract 6, Cochise County, Arizona","-","-","**","**",
