"GEO_ID","NAME","B19013F_001M","B19013F_001MA","B19013F_001E","B19013F_001EA",
"Geography","Geographic Area Name","Margin of Error!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Estimate!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)",
"1400000US04005945100","Census Tract 9451, Coconino County, Arizona","**","**","-","-",
"1400000US04005945200","Census Tract 9452, Coconino County, Arizona","**","**","-","-",
"1400000US04007000100","Census Tract 1, Gila County, Arizona","**","**","-","-",
"1400000US04007000200","Census Tract 2, Gila County, Arizona","**","**","-","-",
"1400000US04007000301","Census Tract 3.01, Gila County, Arizona","72925","null","50366","null",
"1400000US04007000302","Census Tract 3.02, Gila County, Arizona","**","**","-","-",
"1400000US04007000400","Census Tract 4, Gila County, Arizona","**","**","-","-",
"1400000US04007000500","Census Tract 5, Gila County, Arizona","24060","null","4257","null",
"1400000US04007000600","Census Tract 6, Gila County, Arizona","**","**","-","-",
"1400000US04007000700","Census Tract 7, Gila County, Arizona","**","**","-","-",
"1400000US04007000800","Census Tract 8, Gila County, Arizona","22395","null","13462","null",
"1400000US04007000900","Census Tract 9, Gila County, Arizona","18970","null","45417","null",
"1400000US04007001000","Census Tract 10, Gila County, Arizona","14003","null","33450","null",
"1400000US04007001100","Census Tract 11, Gila County, Arizona","58673","null","68750","null",
"1400000US04007001200","Census Tract 12, Gila County, Arizona","34155","null","59333","null",
"1400000US04007001300","Census Tract 13, Gila County, Arizona","44484","null","45179","null",
"1400000US04007940200","Census Tract 9402, Gila County, Arizona","**","**","-","-",
"1400000US04007940400","Census Tract 9404, Gila County, Arizona","**","**","-","-",
"1400000US04009940500","Census Tract 9405, Graham County, Arizona","**","**","-","-",
"1400000US04009961100","Census Tract 9611, Graham County, Arizona","106450","null","107875","null",
"1400000US04009961201","Census Tract 9612.01, Graham County, Arizona","**","**","-","-",
"1400000US04009961202","Census Tract 9612.02, Graham County, Arizona","52263","null","65250","null",
"1400000US04009961300","Census Tract 9613, Graham County, Arizona","24785","null","31667","null",
"1400000US04009961400","Census Tract 9614, Graham County, Arizona","14733","null","49934","null",
"1400000US04009961500","Census Tract 9615, Graham County, Arizona","13687","null","60572","null",
"1400000US04009961600","Census Tract 9616, Graham County, Arizona","**","**","-","-",
"1400000US04009961700","Census Tract 9617, Graham County, Arizona","24288","null","53789","null",
"1400000US04011960100","Census Tract 9601, Greenlee County, Arizona","26090","null","54911","null",
"1400000US04011960200","Census Tract 9602, Greenlee County, Arizona","13836","null","48125","null",
"1400000US04011960300","Census Tract 9603, Greenlee County, Arizona","28046","null","86188","null",
"1400000US04012020100","Census Tract 201, La Paz County, Arizona","2217","null","24926","null",
"1400000US04012020201","Census Tract 202.01, La Paz County, Arizona","**","**","-","-",
"1400000US04012020202","Census Tract 202.02, La Paz County, Arizona","**","**","-","-",
"1400000US04012020501","Census Tract 205.01, La Paz County, Arizona","**","**","-","-",
"1400000US04012020502","Census Tract 205.02, La Paz County, Arizona","**","**","-","-",
"1400000US04012020602","Census Tract 206.02, La Paz County, Arizona","165898","null","39453","null",
"1400000US04012940200","Census Tract 9402, La Paz County, Arizona","3619","null","46209","null",
"1400000US04012940300","Census Tract 9403, La Paz County, Arizona","6639","null","26143","null",
"1400000US04012980000","Census Tract 9800, La Paz County, Arizona","**","**","-","-",
"1400000US04013010101","Census Tract 101.01, Maricopa County, Arizona","**","**","-","-",
"1400000US04013010102","Census Tract 101.02, Maricopa County, Arizona","**","**","-","-",
"1400000US04013030401","Census Tract 304.01, Maricopa County, Arizona","**","**","-","-",
"1400000US04013030402","Census Tract 304.02, Maricopa County, Arizona","**","**","-","-",
"1400000US04013040502","Census Tract 405.02, Maricopa County, Arizona","45141","null","9435","null",
"1400000US04013040506","Census Tract 405.06, Maricopa County, Arizona","**","**","-","-",
"1400000US04013040507","Census Tract 405.07, Maricopa County, Arizona","**","**","-","-",
"1400000US04013040512","Census Tract 405.12, Maricopa County, Arizona","**","**","-","-",
"1400000US04013040513","Census Tract 405.13, Maricopa County, Arizona","**","**","-","-",
"1400000US04013040514","Census Tract 405.14, Maricopa County, Arizona","**","**","-","-",
"1400000US04013040515","Census Tract 405.15, Maricopa County, Arizona","9912","null","27000","null",
"1400000US04013040516","Census Tract 405.16, Maricopa County, Arizona","**","**","-","-",
"1400000US04013040517","Census Tract 405.17, Maricopa County, Arizona","4189","null","43778","null",
"1400000US04013040518","Census Tract 405.18, Maricopa County, Arizona","55901","null","62845","null",
"1400000US04013040519","Census Tract 405.19, Maricopa County, Arizona","**","**","-","-",
"1400000US04013040520","Census Tract 405.20, Maricopa County, Arizona","**","**","-","-",
"1400000US04013040521","Census Tract 405.21, Maricopa County, Arizona","**","**","-","-",
"1400000US04013040522","Census Tract 405.22, Maricopa County, Arizona","**","**","-","-",
"1400000US04013040523","Census Tract 405.23, Maricopa County, Arizona","**","**","-","-",
"1400000US04013040524","Census Tract 405.24, Maricopa County, Arizona","**","**","-","-",
"1400000US04013040525","Census Tract 405.25, Maricopa County, Arizona","**","**","-","-",
"1400000US04013040526","Census Tract 405.26, Maricopa County, Arizona","**","**","-","-",
"1400000US04013040527","Census Tract 405.27, Maricopa County, Arizona","43248","null","31818","null",
"1400000US04013040528","Census Tract 405.28, Maricopa County, Arizona","**","**","-","-",
"1400000US04013040529","Census Tract 405.29, Maricopa County, Arizona","**","**","-","-",
"1400000US04013040530","Census Tract 405.30, Maricopa County, Arizona","33923","null","73516","null",
"1400000US04013040531","Census Tract 405.31, Maricopa County, Arizona","1507","null","50759","null",
"1400000US04013050603","Census Tract 506.03, Maricopa County, Arizona","11331","null","38375","null",
"1400000US04013050604","Census Tract 506.04, Maricopa County, Arizona","73988","null","36528","null",
"1400000US04013050605","Census Tract 506.05, Maricopa County, Arizona","34938","null","58125","null",
"1400000US04013050606","Census Tract 506.06, Maricopa County, Arizona","37589","null","82833","null",
"1400000US04013050607","Census Tract 506.07, Maricopa County, Arizona","32370","null","63241","null",
"1400000US04013050608","Census Tract 506.08, Maricopa County, Arizona","9600","null","63984","null",
"1400000US04013050609","Census Tract 506.09, Maricopa County, Arizona","83248","null","42778","null",
"1400000US04013050610","Census Tract 506.10, Maricopa County, Arizona","28856","null","79009","null",
"1400000US04013050611","Census Tract 506.11, Maricopa County, Arizona","9815","null","51944","null",
"1400000US04013050701","Census Tract 507.01, Maricopa County, Arizona","70506","null","49583","null",
"1400000US04013050702","Census Tract 507.02, Maricopa County, Arizona","30355","null","38813","null",
"1400000US04013060801","Census Tract 608.01, Maricopa County, Arizona","19263","null","31591","null",
"1400000US04013060802","Census Tract 608.02, Maricopa County, Arizona","66073","null","78750","null",
"1400000US04013060901","Census Tract 609.01, Maricopa County, Arizona","25470","null","73182","null",
"1400000US04013060902","Census Tract 609.02, Maricopa County, Arizona","13834","null","30250","null",
"1400000US04013060903","Census Tract 609.03, Maricopa County, Arizona","25753","null","45694","null",
"1400000US04013060904","Census Tract 609.04, Maricopa County, Arizona","12752","null","25326","null",
"1400000US04013061009","Census Tract 610.09, Maricopa County, Arizona","58344","null","75313","null",
"1400000US04013061010","Census Tract 610.10, Maricopa County, Arizona","147786","null","112188","null",
"1400000US04013061011","Census Tract 610.11, Maricopa County, Arizona","42931","null","61250","null",
"1400000US04013061012","Census Tract 610.12, Maricopa County, Arizona","14862","null","84141","null",
"1400000US04013061013","Census Tract 610.13, Maricopa County, Arizona","45427","null","74034","null",
"1400000US04013061014","Census Tract 610.14, Maricopa County, Arizona","39369","null","98636","null",
"1400000US04013061015","Census Tract 610.15, Maricopa County, Arizona","23985","null","57917","null",
"1400000US04013061016","Census Tract 610.16, Maricopa County, Arizona","**","**","-","-",
"1400000US04013061017","Census Tract 610.17, Maricopa County, Arizona","**","**","-","-",
"1400000US04013061018","Census Tract 610.18, Maricopa County, Arizona","**","**","-","-",
"1400000US04013061019","Census Tract 610.19, Maricopa County, Arizona","269588","null","137917","null",
"1400000US04013061020","Census Tract 610.20, Maricopa County, Arizona","64152","null","81875","null",
"1400000US04013061021","Census Tract 610.21, Maricopa County, Arizona","**","**","-","-",
"1400000US04013061022","Census Tract 610.22, Maricopa County, Arizona","39355","null","35781","null",
"1400000US04013061023","Census Tract 610.23, Maricopa County, Arizona","18424","null","80250","null",
"1400000US04013061024","Census Tract 610.24, Maricopa County, Arizona","5885","null","33875","null",
"1400000US04013061025","Census Tract 610.25, Maricopa County, Arizona","17491","null","76250","null",
"1400000US04013061026","Census Tract 610.26, Maricopa County, Arizona","85815","null","85536","null",
"1400000US04013061027","Census Tract 610.27, Maricopa County, Arizona","16201","null","42112","null",
"1400000US04013061028","Census Tract 610.28, Maricopa County, Arizona","112753","null","107981","null",
"1400000US04013061029","Census Tract 610.29, Maricopa County, Arizona","13281","null","52021","null",
"1400000US04013061030","Census Tract 610.30, Maricopa County, Arizona","20851","null","58250","null",
"1400000US04013061031","Census Tract 610.31, Maricopa County, Arizona","**","**","-","-",
"1400000US04013061032","Census Tract 610.32, Maricopa County, Arizona","7924","null","66198","null",
"1400000US04013061033","Census Tract 610.33, Maricopa County, Arizona","25788","null","57969","null",
"1400000US04013061034","Census Tract 610.34, Maricopa County, Arizona","41305","null","60521","null",
"1400000US04013061035","Census Tract 610.35, Maricopa County, Arizona","50741","null","71731","null",
"1400000US04013061036","Census Tract 610.36, Maricopa County, Arizona","15586","null","63036","null",
"1400000US04013061037","Census Tract 610.37, Maricopa County, Arizona","85488","null","60556","null",
"1400000US04013061038","Census Tract 610.38, Maricopa County, Arizona","17742","null","95625","null",
"1400000US04013061039","Census Tract 610.39, Maricopa County, Arizona","30315","null","81719","null",
"1400000US04013061040","Census Tract 610.40, Maricopa County, Arizona","30210","null","39417","null",
"1400000US04013061041","Census Tract 610.41, Maricopa County, Arizona","26262","null","36250","null",
"1400000US04013061042","Census Tract 610.42, Maricopa County, Arizona","29389","null","44087","null",
"1400000US04013061043","Census Tract 610.43, Maricopa County, Arizona","18811","null","46500","null",
"1400000US04013061044","Census Tract 610.44, Maricopa County, Arizona","121395","null","90278","null",
"1400000US04013061045","Census Tract 610.45, Maricopa County, Arizona","54855","null","41887","null",
"1400000US04013061046","Census Tract 610.46, Maricopa County, Arizona","19107","null","46591","null",
"1400000US04013061047","Census Tract 610.47, Maricopa County, Arizona","***","***","250,000+","250,000+",
"1400000US04013061100","Census Tract 611, Maricopa County, Arizona","23689","null","59583","null",
"1400000US04013061200","Census Tract 612, Maricopa County, Arizona","38163","null","36250","null",
"1400000US04013061300","Census Tract 613, Maricopa County, Arizona","8177","null","42917","null",
"1400000US04013061401","Census Tract 614.01, Maricopa County, Arizona","30452","null","37863","null",
"1400000US04013061402","Census Tract 614.02, Maricopa County, Arizona","23086","null","35227","null",
"1400000US04013071503","Census Tract 715.03, Maricopa County, Arizona","**","**","-","-",
"1400000US04013071504","Census Tract 715.04, Maricopa County, Arizona","**","**","-","-",
"1400000US04013071505","Census Tract 715.05, Maricopa County, Arizona","11849","null","36607","null",
"1400000US04013071506","Census Tract 715.06, Maricopa County, Arizona","5778","null","36250","null",
"1400000US04013071509","Census Tract 715.09, Maricopa County, Arizona","58364","null","72083","null",
"1400000US04013071510","Census Tract 715.10, Maricopa County, Arizona","154079","null","62000","null",
"1400000US04013071511","Census Tract 715.11, Maricopa County, Arizona","**","**","-","-",
"1400000US04013071512","Census Tract 715.12, Maricopa County, Arizona","16539","null","57174","null",
"1400000US04013071513","Census Tract 715.13, Maricopa County, Arizona","29226","null","76842","null",
"1400000US04013071514","Census Tract 715.14, Maricopa County, Arizona","**","**","-","-",
"1400000US04013071515","Census Tract 715.15, Maricopa County, Arizona","**","**","-","-",
"1400000US04013071516","Census Tract 715.16, Maricopa County, Arizona","**","**","-","-",
"1400000US04013071517","Census Tract 715.17, Maricopa County, Arizona","21260","null","71250","null",
"1400000US04013071600","Census Tract 716, Maricopa County, Arizona","13952","null","19634","null",
"1400000US04013071701","Census Tract 717.01, Maricopa County, Arizona","39055","null","45139","null",
"1400000US04013071702","Census Tract 717.02, Maricopa County, Arizona","**","**","-","-",
"1400000US04013071801","Census Tract 718.01, Maricopa County, Arizona","**","**","-","-",
"1400000US04013071802","Census Tract 718.02, Maricopa County, Arizona","***","***","2,500-","2,500-",
"1400000US04013071903","Census Tract 719.03, Maricopa County, Arizona","10296","null","68088","null",
"1400000US04013071906","Census Tract 719.06, Maricopa County, Arizona","25365","null","40385","null",
"1400000US04013071909","Census Tract 719.09, Maricopa County, Arizona","2852","null","61574","null",
"1400000US04013071910","Census Tract 719.10, Maricopa County, Arizona","7683","null","27621","null",
"1400000US04013071911","Census Tract 719.11, Maricopa County, Arizona","5226","null","52102","null",
"1400000US04013071912","Census Tract 719.12, Maricopa County, Arizona","939","null","31509","null",
"1400000US04013071913","Census Tract 719.13, Maricopa County, Arizona","**","**","-","-",
"1400000US04013071914","Census Tract 719.14, Maricopa County, Arizona","36146","null","44231","null",
"1400000US04013071915","Census Tract 719.15, Maricopa County, Arizona","15272","null","6688","null",
"1400000US04013082002","Census Tract 820.02, Maricopa County, Arizona","10012","null","30938","null",
"1400000US04013082007","Census Tract 820.07, Maricopa County, Arizona","18563","null","61000","null",
"1400000US04013082008","Census Tract 820.08, Maricopa County, Arizona","9236","null","36094","null",
"1400000US04013082009","Census Tract 820.09, Maricopa County, Arizona","57477","null","72692","null",
"1400000US04013082010","Census Tract 820.10, Maricopa County, Arizona","14369","null","59191","null",
"1400000US04013082012","Census Tract 820.12, Maricopa County, Arizona","14443","null","39519","null",
"1400000US04013082016","Census Tract 820.16, Maricopa County, Arizona","**","**","-","-",
"1400000US04013082017","Census Tract 820.17, Maricopa County, Arizona","25034","null","26591","null",
"1400000US04013082018","Census Tract 820.18, Maricopa County, Arizona","26246","null","45227","null",
"1400000US04013082019","Census Tract 820.19, Maricopa County, Arizona","**","**","-","-",
"1400000US04013082020","Census Tract 820.20, Maricopa County, Arizona","**","**","-","-",
"1400000US04013082021","Census Tract 820.21, Maricopa County, Arizona","**","**","-","-",
"1400000US04013082022","Census Tract 820.22, Maricopa County, Arizona","70811","null","59327","null",
"1400000US04013082023","Census Tract 820.23, Maricopa County, Arizona","86263","null","84125","null",
"1400000US04013082024","Census Tract 820.24, Maricopa County, Arizona","64272","null","60536","null",
"1400000US04013082025","Census Tract 820.25, Maricopa County, Arizona","47775","null","52115","null",
"1400000US04013082026","Census Tract 820.26, Maricopa County, Arizona","47827","null","76071","null",
"1400000US04013082027","Census Tract 820.27, Maricopa County, Arizona","32389","null","63393","null",
"1400000US04013082028","Census Tract 820.28, Maricopa County, Arizona","63203","null","78750","null",
"1400000US04013082203","Census Tract 822.03, Maricopa County, Arizona","27452","null","59625","null",
"1400000US04013082204","Census Tract 822.04, Maricopa County, Arizona","10170","null","61349","null",
"1400000US04013082205","Census Tract 822.05, Maricopa County, Arizona","20857","null","58300","null",
"1400000US04013082206","Census Tract 822.06, Maricopa County, Arizona","15087","null","67625","null",
"1400000US04013082207","Census Tract 822.07, Maricopa County, Arizona","27878","null","73385","null",
"1400000US04013082208","Census Tract 822.08, Maricopa County, Arizona","25148","null","42614","null",
"1400000US04013082209","Census Tract 822.09, Maricopa County, Arizona","22295","null","41250","null",
"1400000US04013082210","Census Tract 822.10, Maricopa County, Arizona","5518","null","47717","null",
"1400000US04013082211","Census Tract 822.11, Maricopa County, Arizona","54818","null","58500","null",
"1400000US04013083000","Census Tract 830, Maricopa County, Arizona","8678","null","42386","null",
"1400000US04013092305","Census Tract 923.05, Maricopa County, Arizona","40447","null","52250","null",
"1400000US04013092306","Census Tract 923.06, Maricopa County, Arizona","57683","null","105885","null",
"1400000US04013092307","Census Tract 923.07, Maricopa County, Arizona","63150","null","76346","null",
"1400000US04013092308","Census Tract 923.08, Maricopa County, Arizona","10205","null","30781","null",
"1400000US04013092309","Census Tract 923.09, Maricopa County, Arizona","86313","null","65365","null",
"1400000US04013092311","Census Tract 923.11, Maricopa County, Arizona","39834","null","27212","null",
"1400000US04013092312","Census Tract 923.12, Maricopa County, Arizona","93156","null","70375","null",
"1400000US04013092401","Census Tract 924.01, Maricopa County, Arizona","14884","null","30368","null",
"1400000US04013092402","Census Tract 924.02, Maricopa County, Arizona","45566","null","37177","null",
"1400000US04013092500","Census Tract 925, Maricopa County, Arizona","15693","null","16750","null",
"1400000US04013092600","Census Tract 926, Maricopa County, Arizona","14319","null","23258","null",
"1400000US04013092705","Census Tract 927.05, Maricopa County, Arizona","49031","null","46250","null",
"1400000US04013092708","Census Tract 927.08, Maricopa County, Arizona","6065","null","48514","null",
"1400000US04013092709","Census Tract 927.09, Maricopa County, Arizona","14142","null","59219","null",
"1400000US04013092710","Census Tract 927.10, Maricopa County, Arizona","17302","null","54223","null",
"1400000US04013092711","Census Tract 927.11, Maricopa County, Arizona","3605","null","41542","null",
"1400000US04013092712","Census Tract 927.12, Maricopa County, Arizona","28788","null","38839","null",
"1400000US04013092713","Census Tract 927.13, Maricopa County, Arizona","19764","null","66563","null",
"1400000US04013092715","Census Tract 927.15, Maricopa County, Arizona","25816","null","55950","null",
"1400000US04013092716","Census Tract 927.16, Maricopa County, Arizona","12290","null","48036","null",
"1400000US04013092717","Census Tract 927.17, Maricopa County, Arizona","11972","null","45540","null",
"1400000US04013092718","Census Tract 927.18, Maricopa County, Arizona","37074","null","41250","null",
"1400000US04013092719","Census Tract 927.19, Maricopa County, Arizona","18371","null","37386","null",
"1400000US04013092720","Census Tract 927.20, Maricopa County, Arizona","21461","null","77071","null",
"1400000US04013092721","Census Tract 927.21, Maricopa County, Arizona","60227","null","88750","null",
"1400000US04013092723","Census Tract 927.23, Maricopa County, Arizona","35350","null","42197","null",
"1400000US04013092724","Census Tract 927.24, Maricopa County, Arizona","4905","null","53381","null",
"1400000US04013092801","Census Tract 928.01, Maricopa County, Arizona","14758","null","27765","null",
"1400000US04013092802","Census Tract 928.02, Maricopa County, Arizona","5347","null","33789","null",
"1400000US04013092900","Census Tract 929, Maricopa County, Arizona","3989","null","23788","null",
"1400000US04013093001","Census Tract 930.01, Maricopa County, Arizona","22594","null","37973","null",
"1400000US04013093002","Census Tract 930.02, Maricopa County, Arizona","6279","null","34226","null",
"1400000US04013093101","Census Tract 931.01, Maricopa County, Arizona","19894","null","30846","null",
"1400000US04013093104","Census Tract 931.04, Maricopa County, Arizona","13541","null","17361","null",
"1400000US04013093105","Census Tract 931.05, Maricopa County, Arizona","21957","null","24000","null",
"1400000US04013093106","Census Tract 931.06, Maricopa County, Arizona","51390","null","59250","null",
"1400000US04013093200","Census Tract 932, Maricopa County, Arizona","25106","null","41848","null",
"1400000US04013103205","Census Tract 1032.05, Maricopa County, Arizona","**","**","-","-",
"1400000US04013103206","Census Tract 1032.06, Maricopa County, Arizona","**","**","-","-",
"1400000US04013103207","Census Tract 1032.07, Maricopa County, Arizona","**","**","-","-",
"1400000US04013103208","Census Tract 1032.08, Maricopa County, Arizona","**","**","-","-",
"1400000US04013103209","Census Tract 1032.09, Maricopa County, Arizona","**","**","-","-",
"1400000US04013103210","Census Tract 1032.10, Maricopa County, Arizona","17167","null","21446","null",
"1400000US04013103211","Census Tract 1032.11, Maricopa County, Arizona","105817","null","103365","null",
"1400000US04013103212","Census Tract 1032.12, Maricopa County, Arizona","276139","null","183750","null",
"1400000US04013103214","Census Tract 1032.14, Maricopa County, Arizona","**","**","-","-",
"1400000US04013103215","Census Tract 1032.15, Maricopa County, Arizona","**","**","-","-",
"1400000US04013103216","Census Tract 1032.16, Maricopa County, Arizona","**","**","-","-",
"1400000US04013103217","Census Tract 1032.17, Maricopa County, Arizona","**","**","-","-",
"1400000US04013103219","Census Tract 1032.19, Maricopa County, Arizona","**","**","-","-",
"1400000US04013103220","Census Tract 1032.20, Maricopa County, Arizona","**","**","-","-",
"1400000US04013103302","Census Tract 1033.02, Maricopa County, Arizona","20393","null","68571","null",
"1400000US04013103303","Census Tract 1033.03, Maricopa County, Arizona","**","**","-","-",
"1400000US04013103304","Census Tract 1033.04, Maricopa County, Arizona","13775","null","30652","null",
"1400000US04013103305","Census Tract 1033.05, Maricopa County, Arizona","14618","null","57891","null",
"1400000US04013103306","Census Tract 1033.06, Maricopa County, Arizona","27533","null","27679","null",
"1400000US04013103400","Census Tract 1034, Maricopa County, Arizona","40630","null","41250","null",
"1400000US04013103501","Census Tract 1035.01, Maricopa County, Arizona","48970","null","27350","null",
"1400000US04013103502","Census Tract 1035.02, Maricopa County, Arizona","**","**","-","-",
"1400000US04013103604","Census Tract 1036.04, Maricopa County, Arizona","53886","null","51948","null",
"1400000US04013103605","Census Tract 1036.05, Maricopa County, Arizona","80251","null","127188","null",
"1400000US04013103606","Census Tract 1036.06, Maricopa County, Arizona","75803","null","65139","null",
"1400000US04013103607","Census Tract 1036.07, Maricopa County, Arizona","**","**","-","-",
"1400000US04013103608","Census Tract 1036.08, Maricopa County, Arizona","10203","null","33651","null",
"1400000US04013103609","Census Tract 1036.09, Maricopa County, Arizona","4329","null","26269","null",
"1400000US04013103611","Census Tract 1036.11, Maricopa County, Arizona","**","**","-","-",
"1400000US04013103612","Census Tract 1036.12, Maricopa County, Arizona","34000","null","30481","null",
"1400000US04013103614","Census Tract 1036.14, Maricopa County, Arizona","19617","null","76705","null",
