"GEO_ID","NAME","B25001_001E","B25001_001M","B25001_001MA","B25001_001EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total",
"1400000US04001942600","Census Tract 9426, Apache County, Arizona","651","28","null","null",
"1400000US04001942700","Census Tract 9427, Apache County, Arizona","2332","58","null","null",
"1400000US04001944000","Census Tract 9440, Apache County, Arizona","2282","63","null","null",
"1400000US04001944100","Census Tract 9441, Apache County, Arizona","2494","59","null","null",
"1400000US04001944201","Census Tract 9442.01, Apache County, Arizona","1538","66","null","null",
"1400000US04001944202","Census Tract 9442.02, Apache County, Arizona","1511","81","null","null",
"1400000US04001944300","Census Tract 9443, Apache County, Arizona","3077","87","null","null",
"1400000US04001944901","Census Tract 9449.01, Apache County, Arizona","1782","42","null","null",
"1400000US04001944902","Census Tract 9449.02, Apache County, Arizona","2147","68","null","null",
"1400000US04001945001","Census Tract 9450.01, Apache County, Arizona","1802","63","null","null",
"1400000US04001945002","Census Tract 9450.02, Apache County, Arizona","1676","49","null","null",
"1400000US04001945100","Census Tract 9451, Apache County, Arizona","790","36","null","null",
"1400000US04001970200","Census Tract 9702, Apache County, Arizona","3109","185","null","null",
"1400000US04001970300","Census Tract 9703, Apache County, Arizona","1511","236","null","null",
"1400000US04001970501","Census Tract 9705.01, Apache County, Arizona","2166","221","null","null",
"1400000US04001970502","Census Tract 9705.02, Apache County, Arizona","3880","153","null","null",
"1400000US04003000100","Census Tract 1, Cochise County, Arizona","1205","87","null","null",
"1400000US04003000201","Census Tract 2.01, Cochise County, Arizona","1631","125","null","null",
"1400000US04003000202","Census Tract 2.02, Cochise County, Arizona","2006","167","null","null",
"1400000US04003000203","Census Tract 2.03, Cochise County, Arizona","1807","81","null","null",
"1400000US04003000301","Census Tract 3.01, Cochise County, Arizona","2308","196","null","null",
"1400000US04003000302","Census Tract 3.02, Cochise County, Arizona","2579","151","null","null",
"1400000US04003000303","Census Tract 3.03, Cochise County, Arizona","1673","131","null","null",
"1400000US04003000400","Census Tract 4, Cochise County, Arizona","1443","54","null","null",
"1400000US04003000500","Census Tract 5, Cochise County, Arizona","2042","79","null","null",
"1400000US04003000600","Census Tract 6, Cochise County, Arizona","1358","69","null","null",
"1400000US04003000700","Census Tract 7, Cochise County, Arizona","1412","131","null","null",
"1400000US04003000800","Census Tract 8, Cochise County, Arizona","1550","188","null","null",
"1400000US04003000901","Census Tract 9.01, Cochise County, Arizona","1112","126","null","null",
"1400000US04003000902","Census Tract 9.02, Cochise County, Arizona","951","96","null","null",
"1400000US04003001000","Census Tract 10, Cochise County, Arizona","1259","80","null","null",
"1400000US04003001100","Census Tract 11, Cochise County, Arizona","2105","132","null","null",
"1400000US04003001200","Census Tract 12, Cochise County, Arizona","1635","96","null","null",
"1400000US04003001300","Census Tract 13, Cochise County, Arizona","2707","141","null","null",
"1400000US04003001401","Census Tract 14.01, Cochise County, Arizona","698","73","null","null",
"1400000US04003001402","Census Tract 14.02, Cochise County, Arizona","255","46","null","null",
"1400000US04003001501","Census Tract 15.01, Cochise County, Arizona","1880","128","null","null",
"1400000US04003001502","Census Tract 15.02, Cochise County, Arizona","1920","81","null","null",
"1400000US04003001601","Census Tract 16.01, Cochise County, Arizona","2447","112","null","null",
"1400000US04003001602","Census Tract 16.02, Cochise County, Arizona","1863","124","null","null",
"1400000US04003001701","Census Tract 17.01, Cochise County, Arizona","2290","148","null","null",
"1400000US04003001702","Census Tract 17.02, Cochise County, Arizona","1820","76","null","null",
"1400000US04003001703","Census Tract 17.03, Cochise County, Arizona","2294","125","null","null",
"1400000US04003001800","Census Tract 18, Cochise County, Arizona","4324","138","null","null",
"1400000US04003001900","Census Tract 19, Cochise County, Arizona","3034","95","null","null",
