"GEO_ID","NAME","B25001_001E","B25001_001M","B25001_001MA","B25001_001EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total",
"1400000US04001942600","Census Tract 9426, Apache County, Arizona","706","25","null","null",
"1400000US04001942700","Census Tract 9427, Apache County, Arizona","2556","66","null","null",
"1400000US04001944000","Census Tract 9440, Apache County, Arizona","2137","91","null","null",
"1400000US04001944100","Census Tract 9441, Apache County, Arizona","2401","74","null","null",
"1400000US04001944201","Census Tract 9442.01, Apache County, Arizona","1500","105","null","null",
"1400000US04001944202","Census Tract 9442.02, Apache County, Arizona","1561","119","null","null",
"1400000US04001944300","Census Tract 9443, Apache County, Arizona","3234","71","null","null",
"1400000US04001944901","Census Tract 9449.01, Apache County, Arizona","1892","55","null","null",
"1400000US04001944902","Census Tract 9449.02, Apache County, Arizona","2331","68","null","null",
"1400000US04001945001","Census Tract 9450.01, Apache County, Arizona","1618","103","null","null",
"1400000US04001945002","Census Tract 9450.02, Apache County, Arizona","1702","67","null","null",
"1400000US04001945100","Census Tract 9451, Apache County, Arizona","799","27","null","null",
"1400000US04001970200","Census Tract 9702, Apache County, Arizona","3087","175","null","null",
"1400000US04001970300","Census Tract 9703, Apache County, Arizona","1426","185","null","null",
"1400000US04001970501","Census Tract 9705.01, Apache County, Arizona","2006","190","null","null",
"1400000US04001970502","Census Tract 9705.02, Apache County, Arizona","3585","163","null","null",
"1400000US04003000100","Census Tract 1, Cochise County, Arizona","1234","92","null","null",
"1400000US04003000201","Census Tract 2.01, Cochise County, Arizona","1558","123","null","null",
"1400000US04003000202","Census Tract 2.02, Cochise County, Arizona","1967","203","null","null",
"1400000US04003000203","Census Tract 2.03, Cochise County, Arizona","1763","103","null","null",
"1400000US04003000301","Census Tract 3.01, Cochise County, Arizona","2268","234","null","null",
"1400000US04003000302","Census Tract 3.02, Cochise County, Arizona","2511","190","null","null",
"1400000US04003000303","Census Tract 3.03, Cochise County, Arizona","1537","132","null","null",
"1400000US04003000400","Census Tract 4, Cochise County, Arizona","1364","70","null","null",
"1400000US04003000500","Census Tract 5, Cochise County, Arizona","1970","76","null","null",
"1400000US04003000600","Census Tract 6, Cochise County, Arizona","1187","83","null","null",
"1400000US04003000700","Census Tract 7, Cochise County, Arizona","1561","141","null","null",
"1400000US04003000800","Census Tract 8, Cochise County, Arizona","1827","208","null","null",
"1400000US04003000901","Census Tract 9.01, Cochise County, Arizona","1358","150","null","null",
"1400000US04003000902","Census Tract 9.02, Cochise County, Arizona","1076","105","null","null",
"1400000US04003001000","Census Tract 10, Cochise County, Arizona","1294","94","null","null",
"1400000US04003001100","Census Tract 11, Cochise County, Arizona","1975","130","null","null",
"1400000US04003001200","Census Tract 12, Cochise County, Arizona","1463","105","null","null",
"1400000US04003001300","Census Tract 13, Cochise County, Arizona","2604","158","null","null",
"1400000US04003001401","Census Tract 14.01, Cochise County, Arizona","788","115","null","null",
"1400000US04003001402","Census Tract 14.02, Cochise County, Arizona","311","67","null","null",
"1400000US04003001501","Census Tract 15.01, Cochise County, Arizona","1830","141","null","null",
"1400000US04003001502","Census Tract 15.02, Cochise County, Arizona","1870","129","null","null",
"1400000US04003001601","Census Tract 16.01, Cochise County, Arizona","2281","119","null","null",
"1400000US04003001602","Census Tract 16.02, Cochise County, Arizona","1864","96","null","null",
"1400000US04003001701","Census Tract 17.01, Cochise County, Arizona","2234","166","null","null",
"1400000US04003001702","Census Tract 17.02, Cochise County, Arizona","1832","83","null","null",
"1400000US04003001703","Census Tract 17.03, Cochise County, Arizona","2161","109","null","null",
"1400000US04003001800","Census Tract 18, Cochise County, Arizona","4261","186","null","null",
"1400000US04003001900","Census Tract 19, Cochise County, Arizona","3010","114","null","null",
"1400000US04003002001","Census Tract 20.01, Cochise County, Arizona","2264","97","null","null",
"1400000US04003002002","Census Tract 20.02, Cochise County, Arizona","1838","107","null","null",
"1400000US04003002100","Census Tract 21, Cochise County, Arizona","2423","129","null","null",
"1400000US04005000100","Census Tract 1, Coconino County, Arizona","1465","72","null","null",
"1400000US04005000200","Census Tract 2, Coconino County, Arizona","1901","95","null","null",
"1400000US04005000300","Census Tract 3, Coconino County, Arizona","2524","142","null","null",
"1400000US04005000400","Census Tract 4, Coconino County, Arizona","1891","80","null","null",
"1400000US04005000500","Census Tract 5, Coconino County, Arizona","1531","95","null","null",
"1400000US04005000600","Census Tract 6, Coconino County, Arizona","3128","132","null","null",
"1400000US04005000700","Census Tract 7, Coconino County, Arizona","1739","66","null","null",
"1400000US04005000800","Census Tract 8, Coconino County, Arizona","1635","119","null","null",
"1400000US04005000900","Census Tract 9, Coconino County, Arizona","3426","147","null","null",
"1400000US04005001000","Census Tract 10, Coconino County, Arizona","668","69","null","null",
"1400000US04005001101","Census Tract 11.01, Coconino County, Arizona","2079","118","null","null",
"1400000US04005001102","Census Tract 11.02, Coconino County, Arizona","3439","178","null","null",
"1400000US04005001200","Census Tract 12, Coconino County, Arizona","1455","87","null","null",
"1400000US04005001301","Census Tract 13.01, Coconino County, Arizona","2232","117","null","null",
"1400000US04005001302","Census Tract 13.02, Coconino County, Arizona","2277","174","null","null",
"1400000US04005001500","Census Tract 15, Coconino County, Arizona","7563","173","null","null",
"1400000US04005001600","Census Tract 16, Coconino County, Arizona","2506","169","null","null",
"1400000US04005001700","Census Tract 17, Coconino County, Arizona","1929","149","null","null",
"1400000US04005002000","Census Tract 20, Coconino County, Arizona","1056","93","null","null",
"1400000US04005002100","Census Tract 21, Coconino County, Arizona","2859","319","null","null",
"1400000US04005002200","Census Tract 22, Coconino County, Arizona","4446","211","null","null",
"1400000US04005002300","Census Tract 23, Coconino County, Arizona","3530","174","null","null",
"1400000US04005942201","Census Tract 9422.01, Coconino County, Arizona","1395","69","null","null",
"1400000US04005942202","Census Tract 9422.02, Coconino County, Arizona","1292","71","null","null",
"1400000US04005944900","Census Tract 9449, Coconino County, Arizona","1444","67","null","null",
"1400000US04005945000","Census Tract 9450, Coconino County, Arizona","1488","101","null","null",
"1400000US04005945100","Census Tract 9451, Coconino County, Arizona","1455","72","null","null",
"1400000US04005945200","Census Tract 9452, Coconino County, Arizona","1326","109","null","null",
"1400000US04007000100","Census Tract 1, Gila County, Arizona","4147","163","null","null",
"1400000US04007000200","Census Tract 2, Gila County, Arizona","3273","120","null","null",
"1400000US04007000301","Census Tract 3.01, Gila County, Arizona","2910","181","null","null",
"1400000US04007000302","Census Tract 3.02, Gila County, Arizona","1714","101","null","null",
"1400000US04007000400","Census Tract 4, Gila County, Arizona","3169","128","null","null",
"1400000US04007000500","Census Tract 5, Gila County, Arizona","3108","164","null","null",
"1400000US04007000600","Census Tract 6, Gila County, Arizona","1272","102","null","null",
"1400000US04007000700","Census Tract 7, Gila County, Arizona","1379","121","null","null",
"1400000US04007000800","Census Tract 8, Gila County, Arizona","1187","120","null","null",
"1400000US04007000900","Census Tract 9, Gila County, Arizona","1580","124","null","null",
"1400000US04007001000","Census Tract 10, Gila County, Arizona","2420","146","null","null",
"1400000US04007001100","Census Tract 11, Gila County, Arizona","1884","226","null","null",
"1400000US04007001200","Census Tract 12, Gila County, Arizona","2064","154","null","null",
