"GEO_ID","NAME","B19013I_001E","B19013I_001EA","B19013I_001M","B19013I_001MA",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2016 inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2016 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2016 inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2016 inflation-adjusted dollars)",
"1400000US04001942600","Census Tract 9426, Apache County, Arizona","-","-","**","**",
"1400000US04001942700","Census Tract 9427, Apache County, Arizona","-","-","**","**",
"1400000US04001944000","Census Tract 9440, Apache County, Arizona","-","-","**","**",
"1400000US04001944100","Census Tract 9441, Apache County, Arizona","-","-","**","**",
"1400000US04001944201","Census Tract 9442.01, Apache County, Arizona","-","-","**","**",
"1400000US04001944202","Census Tract 9442.02, Apache County, Arizona","-","-","**","**",
"1400000US04001944300","Census Tract 9443, Apache County, Arizona","-","-","**","**",
"1400000US04001944901","Census Tract 9449.01, Apache County, Arizona","-","-","**","**",
"1400000US04001944902","Census Tract 9449.02, Apache County, Arizona","-","-","**","**",
"1400000US04001945001","Census Tract 9450.01, Apache County, Arizona","-","-","**","**",
"1400000US04001945002","Census Tract 9450.02, Apache County, Arizona","4107","null","940","null",
"1400000US04001945100","Census Tract 9451, Apache County, Arizona","-","-","**","**",
"1400000US04001970200","Census Tract 9702, Apache County, Arizona","34274","null","6670","null",
"1400000US04001970300","Census Tract 9703, Apache County, Arizona","27333","null","15274","null",
"1400000US04001970501","Census Tract 9705.01, Apache County, Arizona","45673","null","15887","null",
"1400000US04001970502","Census Tract 9705.02, Apache County, Arizona","43750","null","40665","null",
"1400000US04003000100","Census Tract 1, Cochise County, Arizona","33095","null","8430","null",
"1400000US04003000201","Census Tract 2.01, Cochise County, Arizona","56458","null","23864","null",
"1400000US04003000202","Census Tract 2.02, Cochise County, Arizona","43599","null","10795","null",
"1400000US04003000203","Census Tract 2.03, Cochise County, Arizona","40575","null","10099","null",
"1400000US04003000301","Census Tract 3.01, Cochise County, Arizona","23173","null","12052","null",
"1400000US04003000302","Census Tract 3.02, Cochise County, Arizona","-","-","**","**",
"1400000US04003000303","Census Tract 3.03, Cochise County, Arizona","-","-","**","**",
"1400000US04003000400","Census Tract 4, Cochise County, Arizona","38750","null","17132","null",
"1400000US04003000500","Census Tract 5, Cochise County, Arizona","38333","null","5495","null",
"1400000US04003000600","Census Tract 6, Cochise County, Arizona","28045","null","6873","null",
"1400000US04003000700","Census Tract 7, Cochise County, Arizona","29104","null","6760","null",
"1400000US04003000800","Census Tract 8, Cochise County, Arizona","32656","null","5338","null",
"1400000US04003000901","Census Tract 9.01, Cochise County, Arizona","20199","null","4060","null",
"1400000US04003000902","Census Tract 9.02, Cochise County, Arizona","23824","null","5528","null",
"1400000US04003001000","Census Tract 10, Cochise County, Arizona","-","-","**","**",
"1400000US04003001100","Census Tract 11, Cochise County, Arizona","27135","null","12477","null",
"1400000US04003001200","Census Tract 12, Cochise County, Arizona","24875","null","14320","null",
"1400000US04003001300","Census Tract 13, Cochise County, Arizona","18750","null","9164","null",
"1400000US04003001401","Census Tract 14.01, Cochise County, Arizona","60750","null","42728","null",
"1400000US04003001402","Census Tract 14.02, Cochise County, Arizona","61667","null","2809","null",
"1400000US04003001501","Census Tract 15.01, Cochise County, Arizona","31899","null","16553","null",
