"GEO_ID","NAME","B19013I_001M","B19013I_001MA","B19013I_001E","B19013I_001EA",
"Geography","Geographic Area Name","Margin of Error!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Estimate!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)",
"1400000US04001942600","Census Tract 9426, Apache County, Arizona","**","**","-","-",
"1400000US04005945000","Census Tract 9450, Coconino County, Arizona","**","**","-","-",
"1400000US04005945100","Census Tract 9451, Coconino County, Arizona","**","**","-","-",
"1400000US04005945200","Census Tract 9452, Coconino County, Arizona","**","**","-","-",
"1400000US04007000100","Census Tract 1, Gila County, Arizona","**","**","-","-",
"1400000US04007000200","Census Tract 2, Gila County, Arizona","35912","null","33542","null",
"1400000US04007000301","Census Tract 3.01, Gila County, Arizona","29708","null","17075","null",
"1400000US04007000302","Census Tract 3.02, Gila County, Arizona","20970","null","54750","null",
"1400000US04007000400","Census Tract 4, Gila County, Arizona","12089","null","27788","null",
"1400000US04007000500","Census Tract 5, Gila County, Arizona","23197","null","33750","null",
"1400000US04007000600","Census Tract 6, Gila County, Arizona","**","**","-","-",
"1400000US04007000700","Census Tract 7, Gila County, Arizona","72485","null","27143","null",
"1400000US04007000800","Census Tract 8, Gila County, Arizona","13912","null","23889","null",
"1400000US04007000900","Census Tract 9, Gila County, Arizona","5540","null","29035","null",
"1400000US04007001000","Census Tract 10, Gila County, Arizona","9343","null","25724","null",
"1400000US04007001100","Census Tract 11, Gila County, Arizona","15025","null","33988","null",
"1400000US04007001200","Census Tract 12, Gila County, Arizona","24759","null","36667","null",
"1400000US04007001300","Census Tract 13, Gila County, Arizona","11140","null","36438","null",
"1400000US04007940200","Census Tract 9402, Gila County, Arizona","**","**","-","-",
"1400000US04007940400","Census Tract 9404, Gila County, Arizona","**","**","-","-",
"1400000US04009940500","Census Tract 9405, Graham County, Arizona","53314","null","45694","null",
"1400000US04009961100","Census Tract 9611, Graham County, Arizona","29042","null","29708","null",
"1400000US04009961201","Census Tract 9612.01, Graham County, Arizona","138703","null","107554","null",
"1400000US04009961202","Census Tract 9612.02, Graham County, Arizona","14148","null","37143","null",
"1400000US04009961300","Census Tract 9613, Graham County, Arizona","44232","null","37014","null",
"1400000US04009961400","Census Tract 9614, Graham County, Arizona","8095","null","47774","null",
"1400000US04009961500","Census Tract 9615, Graham County, Arizona","10602","null","51302","null",
"1400000US04009961600","Census Tract 9616, Graham County, Arizona","75374","null","47500","null",
"1400000US04009961700","Census Tract 9617, Graham County, Arizona","10946","null","48000","null",
"1400000US04011960100","Census Tract 9601, Greenlee County, Arizona","25541","null","29583","null",
"1400000US04011960200","Census Tract 9602, Greenlee County, Arizona","15234","null","49625","null",
"1400000US04011960300","Census Tract 9603, Greenlee County, Arizona","10787","null","45000","null",
"1400000US04012020100","Census Tract 201, La Paz County, Arizona","2934","null","24412","null",
"1400000US04012020201","Census Tract 202.01, La Paz County, Arizona","27837","null","29208","null",
"1400000US04012020202","Census Tract 202.02, La Paz County, Arizona","**","**","-","-",
"1400000US04012020501","Census Tract 205.01, La Paz County, Arizona","18909","null","12448","null",
"1400000US04012020502","Census Tract 205.02, La Paz County, Arizona","**","**","-","-",
"1400000US04012020602","Census Tract 206.02, La Paz County, Arizona","165898","null","39453","null",
"1400000US04012940200","Census Tract 9402, La Paz County, Arizona","9813","null","45500","null",
"1400000US04012940300","Census Tract 9403, La Paz County, Arizona","4757","null","25517","null",
"1400000US04012980000","Census Tract 9800, La Paz County, Arizona","**","**","-","-",
"1400000US04013010101","Census Tract 101.01, Maricopa County, Arizona","66941","null","71250","null",
"1400000US04013010102","Census Tract 101.02, Maricopa County, Arizona","109865","null","183571","null",
"1400000US04013030401","Census Tract 304.01, Maricopa County, Arizona","**","**","-","-",
"1400000US04013030402","Census Tract 304.02, Maricopa County, Arizona","**","**","-","-",
"1400000US04013040502","Census Tract 405.02, Maricopa County, Arizona","15244","null","15625","null",
"1400000US04013040506","Census Tract 405.06, Maricopa County, Arizona","2047","null","14917","null",
"1400000US04013040507","Census Tract 405.07, Maricopa County, Arizona","**","**","-","-",
"1400000US04013040512","Census Tract 405.12, Maricopa County, Arizona","**","**","-","-",
"1400000US04013040513","Census Tract 405.13, Maricopa County, Arizona","**","**","-","-",
"1400000US04013040514","Census Tract 405.14, Maricopa County, Arizona","**","**","-","-",
"1400000US04013040515","Census Tract 405.15, Maricopa County, Arizona","13437","null","39342","null",
"1400000US04013040516","Census Tract 405.16, Maricopa County, Arizona","20267","null","18162","null",
"1400000US04013040517","Census Tract 405.17, Maricopa County, Arizona","7413","null","44403","null",
"1400000US04013040518","Census Tract 405.18, Maricopa County, Arizona","33169","null","63664","null",
"1400000US04013040519","Census Tract 405.19, Maricopa County, Arizona","379238","null","240568","null",
"1400000US04013040520","Census Tract 405.20, Maricopa County, Arizona","28004","null","73750","null",
"1400000US04013040521","Census Tract 405.21, Maricopa County, Arizona","22720","null","88629","null",
"1400000US04013040522","Census Tract 405.22, Maricopa County, Arizona","**","**","-","-",
"1400000US04013040523","Census Tract 405.23, Maricopa County, Arizona","5552","null","59554","null",
"1400000US04013040524","Census Tract 405.24, Maricopa County, Arizona","64504","null","70380","null",
"1400000US04013040525","Census Tract 405.25, Maricopa County, Arizona","**","**","-","-",
"1400000US04013040526","Census Tract 405.26, Maricopa County, Arizona","243893","null","4833","null",
"1400000US04013040527","Census Tract 405.27, Maricopa County, Arizona","50649","null","65602","null",
"1400000US04013040528","Census Tract 405.28, Maricopa County, Arizona","92194","null","93750","null",
"1400000US04013040529","Census Tract 405.29, Maricopa County, Arizona","**","**","-","-",
"1400000US04013040530","Census Tract 405.30, Maricopa County, Arizona","56654","null","73242","null",
"1400000US04013040531","Census Tract 405.31, Maricopa County, Arizona","11111","null","25882","null",
"1400000US04013050603","Census Tract 506.03, Maricopa County, Arizona","19430","null","41424","null",
"1400000US04013050604","Census Tract 506.04, Maricopa County, Arizona","9032","null","39444","null",
"1400000US04013050605","Census Tract 506.05, Maricopa County, Arizona","15912","null","46406","null",
"1400000US04013050606","Census Tract 506.06, Maricopa County, Arizona","25068","null","66771","null",
"1400000US04013050607","Census Tract 506.07, Maricopa County, Arizona","7456","null","61581","null",
"1400000US04013050608","Census Tract 506.08, Maricopa County, Arizona","10928","null","58224","null",
"1400000US04013050609","Census Tract 506.09, Maricopa County, Arizona","17180","null","70594","null",
"1400000US04013050610","Census Tract 506.10, Maricopa County, Arizona","21393","null","63484","null",
"1400000US04013050611","Census Tract 506.11, Maricopa County, Arizona","29329","null","66083","null",
"1400000US04013050701","Census Tract 507.01, Maricopa County, Arizona","11504","null","42436","null",
"1400000US04013050702","Census Tract 507.02, Maricopa County, Arizona","8780","null","48021","null",
"1400000US04013060801","Census Tract 608.01, Maricopa County, Arizona","9506","null","34728","null",
"1400000US04013060802","Census Tract 608.02, Maricopa County, Arizona","41641","null","52321","null",
"1400000US04013060901","Census Tract 609.01, Maricopa County, Arizona","13967","null","64926","null",
"1400000US04013060902","Census Tract 609.02, Maricopa County, Arizona","8193","null","27148","null",
"1400000US04013060903","Census Tract 609.03, Maricopa County, Arizona","12834","null","41406","null",
"1400000US04013060904","Census Tract 609.04, Maricopa County, Arizona","7915","null","27065","null",
"1400000US04013061009","Census Tract 610.09, Maricopa County, Arizona","12976","null","61583","null",
"1400000US04013061010","Census Tract 610.10, Maricopa County, Arizona","37088","null","78750","null",
"1400000US04013061011","Census Tract 610.11, Maricopa County, Arizona","16013","null","51333","null",
"1400000US04013061012","Census Tract 610.12, Maricopa County, Arizona","10092","null","47083","null",
"1400000US04013061013","Census Tract 610.13, Maricopa County, Arizona","35899","null","67500","null",
"1400000US04013061014","Census Tract 610.14, Maricopa County, Arizona","6410","null","81192","null",
"1400000US04013061015","Census Tract 610.15, Maricopa County, Arizona","10860","null","62900","null",
"1400000US04013061016","Census Tract 610.16, Maricopa County, Arizona","**","**","-","-",
"1400000US04013061017","Census Tract 610.17, Maricopa County, Arizona","**","**","-","-",
"1400000US04013061018","Census Tract 610.18, Maricopa County, Arizona","15916","null","31250","null",
"1400000US04013061019","Census Tract 610.19, Maricopa County, Arizona","55120","null","82050","null",
"1400000US04013061020","Census Tract 610.20, Maricopa County, Arizona","20834","null","91943","null",
"1400000US04013061021","Census Tract 610.21, Maricopa County, Arizona","87522","null","39688","null",
"1400000US04013061022","Census Tract 610.22, Maricopa County, Arizona","12682","null","66061","null",
"1400000US04013061023","Census Tract 610.23, Maricopa County, Arizona","18121","null","86250","null",
"1400000US04013061024","Census Tract 610.24, Maricopa County, Arizona","21924","null","64250","null",
"1400000US04013061025","Census Tract 610.25, Maricopa County, Arizona","29087","null","62404","null",
"1400000US04013061026","Census Tract 610.26, Maricopa County, Arizona","19250","null","64167","null",
"1400000US04013061027","Census Tract 610.27, Maricopa County, Arizona","50479","null","42029","null",
"1400000US04013061028","Census Tract 610.28, Maricopa County, Arizona","38841","null","59583","null",
"1400000US04013061029","Census Tract 610.29, Maricopa County, Arizona","9889","null","48846","null",
"1400000US04013061030","Census Tract 610.30, Maricopa County, Arizona","36293","null","66250","null",
"1400000US04013061031","Census Tract 610.31, Maricopa County, Arizona","4465","null","46637","null",
"1400000US04013061032","Census Tract 610.32, Maricopa County, Arizona","15244","null","66719","null",
"1400000US04013061033","Census Tract 610.33, Maricopa County, Arizona","19862","null","57625","null",
"1400000US04013061034","Census Tract 610.34, Maricopa County, Arizona","27301","null","66528","null",
"1400000US04013061035","Census Tract 610.35, Maricopa County, Arizona","25269","null","60089","null",
"1400000US04013061036","Census Tract 610.36, Maricopa County, Arizona","9253","null","61000","null",
"1400000US04013061037","Census Tract 610.37, Maricopa County, Arizona","7833","null","61397","null",
"1400000US04013061038","Census Tract 610.38, Maricopa County, Arizona","8887","null","83821","null",
"1400000US04013061039","Census Tract 610.39, Maricopa County, Arizona","19162","null","75313","null",
"1400000US04013061040","Census Tract 610.40, Maricopa County, Arizona","7332","null","43750","null",
"1400000US04013061041","Census Tract 610.41, Maricopa County, Arizona","20095","null","33409","null",
"1400000US04013061042","Census Tract 610.42, Maricopa County, Arizona","53547","null","44451","null",
"1400000US04013061043","Census Tract 610.43, Maricopa County, Arizona","10380","null","44519","null",
"1400000US04013061044","Census Tract 610.44, Maricopa County, Arizona","12518","null","71397","null",
"1400000US04013061045","Census Tract 610.45, Maricopa County, Arizona","62520","null","77396","null",
"1400000US04013061046","Census Tract 610.46, Maricopa County, Arizona","12427","null","50240","null",
"1400000US04013061047","Census Tract 610.47, Maricopa County, Arizona","41691","null","64961","null",
"1400000US04013061100","Census Tract 611, Maricopa County, Arizona","26204","null","46875","null",
"1400000US04013061200","Census Tract 612, Maricopa County, Arizona","8415","null","33792","null",
"1400000US04013061300","Census Tract 613, Maricopa County, Arizona","6474","null","35859","null",
"1400000US04013061401","Census Tract 614.01, Maricopa County, Arizona","13544","null","27614","null",
"1400000US04013061402","Census Tract 614.02, Maricopa County, Arizona","8892","null","34966","null",
"1400000US04013071503","Census Tract 715.03, Maricopa County, Arizona","**","**","-","-",
"1400000US04013071504","Census Tract 715.04, Maricopa County, Arizona","**","**","-","-",
"1400000US04013071505","Census Tract 715.05, Maricopa County, Arizona","23870","null","36667","null",
"1400000US04013071506","Census Tract 715.06, Maricopa County, Arizona","20432","null","45446","null",
"1400000US04013071509","Census Tract 715.09, Maricopa County, Arizona","18811","null","73438","null",
"1400000US04013071510","Census Tract 715.10, Maricopa County, Arizona","80410","null","62438","null",
"1400000US04013071511","Census Tract 715.11, Maricopa County, Arizona","44707","null","58636","null",
"1400000US04013071512","Census Tract 715.12, Maricopa County, Arizona","22387","null","57038","null",
"1400000US04013071513","Census Tract 715.13, Maricopa County, Arizona","56097","null","77039","null",
"1400000US04013071514","Census Tract 715.14, Maricopa County, Arizona","42326","null","155632","null",
"1400000US04013071515","Census Tract 715.15, Maricopa County, Arizona","50459","null","12443","null",
"1400000US04013071516","Census Tract 715.16, Maricopa County, Arizona","54361","null","52177","null",
"1400000US04013071517","Census Tract 715.17, Maricopa County, Arizona","27902","null","62109","null",
"1400000US04013071600","Census Tract 716, Maricopa County, Arizona","4774","null","32893","null",
"1400000US04013071701","Census Tract 717.01, Maricopa County, Arizona","23060","null","54871","null",
"1400000US04013071702","Census Tract 717.02, Maricopa County, Arizona","30172","null","34844","null",
"1400000US04013071801","Census Tract 718.01, Maricopa County, Arizona","6248","null","24232","null",
"1400000US04013071802","Census Tract 718.02, Maricopa County, Arizona","33249","null","13393","null",
"1400000US04013071903","Census Tract 719.03, Maricopa County, Arizona","8457","null","61472","null",
"1400000US04013071906","Census Tract 719.06, Maricopa County, Arizona","26999","null","41378","null",
"1400000US04013071909","Census Tract 719.09, Maricopa County, Arizona","21473","null","40250","null",
"1400000US04013071910","Census Tract 719.10, Maricopa County, Arizona","9196","null","34896","null",
"1400000US04013071911","Census Tract 719.11, Maricopa County, Arizona","24769","null","61667","null",
"1400000US04013071912","Census Tract 719.12, Maricopa County, Arizona","7166","null","30778","null",
"1400000US04013071913","Census Tract 719.13, Maricopa County, Arizona","4129","null","34521","null",
"1400000US04013071914","Census Tract 719.14, Maricopa County, Arizona","9300","null","41250","null",
"1400000US04013071915","Census Tract 719.15, Maricopa County, Arizona","17802","null","61292","null",
"1400000US04013082002","Census Tract 820.02, Maricopa County, Arizona","3033","null","38363","null",
"1400000US04013082007","Census Tract 820.07, Maricopa County, Arizona","5485","null","47917","null",
"1400000US04013082008","Census Tract 820.08, Maricopa County, Arizona","7532","null","53920","null",
"1400000US04013082009","Census Tract 820.09, Maricopa County, Arizona","14054","null","49211","null",
"1400000US04013082010","Census Tract 820.10, Maricopa County, Arizona","11506","null","42045","null",
"1400000US04013082012","Census Tract 820.12, Maricopa County, Arizona","12290","null","44714","null",
"1400000US04013082016","Census Tract 820.16, Maricopa County, Arizona","39231","null","61225","null",
"1400000US04013082017","Census Tract 820.17, Maricopa County, Arizona","20731","null","72674","null",
"1400000US04013082018","Census Tract 820.18, Maricopa County, Arizona","8418","null","42203","null",
"1400000US04013082019","Census Tract 820.19, Maricopa County, Arizona","60028","null","62285","null",
"1400000US04013082020","Census Tract 820.20, Maricopa County, Arizona","25015","null","52500","null",
"1400000US04013082021","Census Tract 820.21, Maricopa County, Arizona","151814","null","107566","null",
"1400000US04013082022","Census Tract 820.22, Maricopa County, Arizona","12202","null","53088","null",
"1400000US04013082023","Census Tract 820.23, Maricopa County, Arizona","17625","null","46847","null",
"1400000US04013082024","Census Tract 820.24, Maricopa County, Arizona","31029","null","61086","null",
"1400000US04013082025","Census Tract 820.25, Maricopa County, Arizona","19135","null","73125","null",
"1400000US04013082026","Census Tract 820.26, Maricopa County, Arizona","35795","null","60319","null",
"1400000US04013082027","Census Tract 820.27, Maricopa County, Arizona","21787","null","75404","null",
"1400000US04013082028","Census Tract 820.28, Maricopa County, Arizona","6719","null","43240","null",
"1400000US04013082203","Census Tract 822.03, Maricopa County, Arizona","11110","null","66402","null",
"1400000US04013082204","Census Tract 822.04, Maricopa County, Arizona","24468","null","50724","null",
"1400000US04013082205","Census Tract 822.05, Maricopa County, Arizona","8258","null","51019","null",
"1400000US04013082206","Census Tract 822.06, Maricopa County, Arizona","6818","null","67115","null",
"1400000US04013082207","Census Tract 822.07, Maricopa County, Arizona","8125","null","64570","null",
"1400000US04013082208","Census Tract 822.08, Maricopa County, Arizona","6407","null","38768","null",
"1400000US04013082209","Census Tract 822.09, Maricopa County, Arizona","4569","null","32846","null",
"1400000US04013082210","Census Tract 822.10, Maricopa County, Arizona","10615","null","42500","null",
"1400000US04013082211","Census Tract 822.11, Maricopa County, Arizona","15692","null","57563","null",
"1400000US04013083000","Census Tract 830, Maricopa County, Arizona","4281","null","34254","null",
"1400000US04013092305","Census Tract 923.05, Maricopa County, Arizona","20461","null","52250","null",
"1400000US04013092306","Census Tract 923.06, Maricopa County, Arizona","18441","null","58971","null",
"1400000US04013092307","Census Tract 923.07, Maricopa County, Arizona","16112","null","72570","null",
"1400000US04013092308","Census Tract 923.08, Maricopa County, Arizona","8969","null","31406","null",
"1400000US04013092309","Census Tract 923.09, Maricopa County, Arizona","10082","null","41566","null",
"1400000US04013092311","Census Tract 923.11, Maricopa County, Arizona","23239","null","32135","null",
"1400000US04013092312","Census Tract 923.12, Maricopa County, Arizona","11515","null","25081","null",
"1400000US04013092401","Census Tract 924.01, Maricopa County, Arizona","9321","null","34771","null",
"1400000US04013092402","Census Tract 924.02, Maricopa County, Arizona","13123","null","39068","null",
"1400000US04013092500","Census Tract 925, Maricopa County, Arizona","3789","null","26299","null",
"1400000US04013092600","Census Tract 926, Maricopa County, Arizona","6039","null","31132","null",
"1400000US04013092705","Census Tract 927.05, Maricopa County, Arizona","10059","null","47054","null",
"1400000US04013092708","Census Tract 927.08, Maricopa County, Arizona","12634","null","48209","null",
"1400000US04013092709","Census Tract 927.09, Maricopa County, Arizona","13720","null","61912","null",
"1400000US04013092710","Census Tract 927.10, Maricopa County, Arizona","10109","null","65396","null",
"1400000US04013092711","Census Tract 927.11, Maricopa County, Arizona","7526","null","42417","null",
"1400000US04013092712","Census Tract 927.12, Maricopa County, Arizona","12450","null","40793","null",
"1400000US04013092713","Census Tract 927.13, Maricopa County, Arizona","12381","null","67009","null",
"1400000US04013092715","Census Tract 927.15, Maricopa County, Arizona","22797","null","51597","null",
"1400000US04013092716","Census Tract 927.16, Maricopa County, Arizona","15785","null","51326","null",
"1400000US04013092717","Census Tract 927.17, Maricopa County, Arizona","11507","null","50263","null",
"1400000US04013092718","Census Tract 927.18, Maricopa County, Arizona","18786","null","40256","null",
"1400000US04013092719","Census Tract 927.19, Maricopa County, Arizona","11130","null","47560","null",
"1400000US04013092720","Census Tract 927.20, Maricopa County, Arizona","26274","null","46150","null",
"1400000US04013092721","Census Tract 927.21, Maricopa County, Arizona","62411","null","89205","null",
"1400000US04013092723","Census Tract 927.23, Maricopa County, Arizona","80297","null","75000","null",
"1400000US04013092724","Census Tract 927.24, Maricopa County, Arizona","27467","null","54063","null",
"1400000US04013092801","Census Tract 928.01, Maricopa County, Arizona","10737","null","34028","null",
"1400000US04013092802","Census Tract 928.02, Maricopa County, Arizona","5895","null","30682","null",
"1400000US04013092900","Census Tract 929, Maricopa County, Arizona","2516","null","24055","null",
"1400000US04013093001","Census Tract 930.01, Maricopa County, Arizona","19034","null","37448","null",
"1400000US04013093002","Census Tract 930.02, Maricopa County, Arizona","11348","null","30433","null",
"1400000US04013093101","Census Tract 931.01, Maricopa County, Arizona","10767","null","33056","null",
"1400000US04013093104","Census Tract 931.04, Maricopa County, Arizona","7031","null","21815","null",
"1400000US04013093105","Census Tract 931.05, Maricopa County, Arizona","6069","null","29236","null",
"1400000US04013093106","Census Tract 931.06, Maricopa County, Arizona","33456","null","53889","null",
"1400000US04013093200","Census Tract 932, Maricopa County, Arizona","14016","null","29543","null",
"1400000US04013103205","Census Tract 1032.05, Maricopa County, Arizona","14764","null","44663","null",
"1400000US04013103206","Census Tract 1032.06, Maricopa County, Arizona","55159","null","59929","null",
"1400000US04013103207","Census Tract 1032.07, Maricopa County, Arizona","96492","null","138750","null",
"1400000US04013103208","Census Tract 1032.08, Maricopa County, Arizona","65525","null","75294","null",
"1400000US04013103209","Census Tract 1032.09, Maricopa County, Arizona","102534","null","217983","null",
"1400000US04013103210","Census Tract 1032.10, Maricopa County, Arizona","37430","null","40329","null",
"1400000US04013103211","Census Tract 1032.11, Maricopa County, Arizona","67423","null","103846","null",
"1400000US04013103212","Census Tract 1032.12, Maricopa County, Arizona","144933","null","117292","null",
"1400000US04013103214","Census Tract 1032.14, Maricopa County, Arizona","102889","null","148750","null",
"1400000US04013103215","Census Tract 1032.15, Maricopa County, Arizona","456647","null","14412","null",
"1400000US04013103216","Census Tract 1032.16, Maricopa County, Arizona","208299","null","42179","null",
"1400000US04013103217","Census Tract 1032.17, Maricopa County, Arizona","138069","null","94423","null",
"1400000US04013103219","Census Tract 1032.19, Maricopa County, Arizona","40585","null","30238","null",
"1400000US04013103220","Census Tract 1032.20, Maricopa County, Arizona","132120","null","98814","null",
"1400000US04013103302","Census Tract 1033.02, Maricopa County, Arizona","6800","null","39844","null",
"1400000US04013103303","Census Tract 1033.03, Maricopa County, Arizona","40634","null","36630","null",
"1400000US04013103304","Census Tract 1033.04, Maricopa County, Arizona","5212","null","31625","null",
"1400000US04013103305","Census Tract 1033.05, Maricopa County, Arizona","17554","null","29667","null",
"1400000US04013103306","Census Tract 1033.06, Maricopa County, Arizona","6648","null","27917","null",
"1400000US04013103400","Census Tract 1034, Maricopa County, Arizona","13889","null","53417","null",
"1400000US04013103501","Census Tract 1035.01, Maricopa County, Arizona","20060","null","24595","null",
"1400000US04013103502","Census Tract 1035.02, Maricopa County, Arizona","55108","null","39662","null",
"1400000US04013103604","Census Tract 1036.04, Maricopa County, Arizona","32522","null","31923","null",
"1400000US04013103605","Census Tract 1036.05, Maricopa County, Arizona","114101","null","98875","null",
"1400000US04013103606","Census Tract 1036.06, Maricopa County, Arizona","16340","null","24485","null",
"1400000US04013103607","Census Tract 1036.07, Maricopa County, Arizona","13198","null","34250","null",
"1400000US04013103608","Census Tract 1036.08, Maricopa County, Arizona","23375","null","49653","null",
