"GEO_ID","NAME","B19013I_001E","B19013I_001M","B19013I_001MA","B19013I_001EA",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)",
"1400000US04001942600","Census Tract 9426, Apache County, Arizona","-","**","**","-",
"1400000US04001942700","Census Tract 9427, Apache County, Arizona","-","**","**","-",
"1400000US04001944000","Census Tract 9440, Apache County, Arizona","-","**","**","-",
"1400000US04001944100","Census Tract 9441, Apache County, Arizona","-","**","**","-",
"1400000US04001944201","Census Tract 9442.01, Apache County, Arizona","-","**","**","-",
"1400000US04001944202","Census Tract 9442.02, Apache County, Arizona","-","**","**","-",
"1400000US04001944300","Census Tract 9443, Apache County, Arizona","-","**","**","-",
"1400000US04001944901","Census Tract 9449.01, Apache County, Arizona","21875","2011","null","null",
"1400000US04001944902","Census Tract 9449.02, Apache County, Arizona","-","**","**","-",
"1400000US04001945001","Census Tract 9450.01, Apache County, Arizona","-","**","**","-",
"1400000US04001945002","Census Tract 9450.02, Apache County, Arizona","3750","3256","null","null",
"1400000US04001945100","Census Tract 9451, Apache County, Arizona","-","**","**","-",
"1400000US04001970200","Census Tract 9702, Apache County, Arizona","32132","17947","null","null",
"1400000US04001970300","Census Tract 9703, Apache County, Arizona","31196","25144","null","null",
"1400000US04001970501","Census Tract 9705.01, Apache County, Arizona","48485","30096","null","null",
"1400000US04001970502","Census Tract 9705.02, Apache County, Arizona","84375","39715","null","null",
"1400000US04003000100","Census Tract 1, Cochise County, Arizona","34286","11723","null","null",
"1400000US04003000201","Census Tract 2.01, Cochise County, Arizona","43059","8716","null","null",
"1400000US04003000202","Census Tract 2.02, Cochise County, Arizona","33717","13065","null","null",
"1400000US04003000203","Census Tract 2.03, Cochise County, Arizona","29750","21210","null","null",
"1400000US04003000301","Census Tract 3.01, Cochise County, Arizona","27891","16504","null","null",
"1400000US04003000302","Census Tract 3.02, Cochise County, Arizona","56700","40400","null","null",
"1400000US04003000303","Census Tract 3.03, Cochise County, Arizona","46250","33973","null","null",
"1400000US04003000400","Census Tract 4, Cochise County, Arizona","47692","11415","null","null",
"1400000US04003000500","Census Tract 5, Cochise County, Arizona","35208","9625","null","null",
"1400000US04003000600","Census Tract 6, Cochise County, Arizona","42847","12699","null","null",
"1400000US04003000700","Census Tract 7, Cochise County, Arizona","35385","11860","null","null",
"1400000US04003000800","Census Tract 8, Cochise County, Arizona","44921","9165","null","null",
"1400000US04003000901","Census Tract 9.01, Cochise County, Arizona","19886","5177","null","null",
"1400000US04003000902","Census Tract 9.02, Cochise County, Arizona","27852","9260","null","null",
"1400000US04003001000","Census Tract 10, Cochise County, Arizona","-","**","**","-",
"1400000US04003001100","Census Tract 11, Cochise County, Arizona","33689","7629","null","null",
"1400000US04003001200","Census Tract 12, Cochise County, Arizona","19799","5882","null","null",
"1400000US04003001300","Census Tract 13, Cochise County, Arizona","22043","10929","null","null",
"1400000US04003001401","Census Tract 14.01, Cochise County, Arizona","63393","33915","null","null",
"1400000US04003001402","Census Tract 14.02, Cochise County, Arizona","-","**","**","-",
"1400000US04003001501","Census Tract 15.01, Cochise County, Arizona","32977","11471","null","null",
"1400000US04003001502","Census Tract 15.02, Cochise County, Arizona","26969","6970","null","null",
"1400000US04003001601","Census Tract 16.01, Cochise County, Arizona","42263","19499","null","null",
"1400000US04003001602","Census Tract 16.02, Cochise County, Arizona","41196","32224","null","null",
"1400000US04003001701","Census Tract 17.01, Cochise County, Arizona","84821","22481","null","null",
"1400000US04003001702","Census Tract 17.02, Cochise County, Arizona","49565","25553","null","null",
"1400000US04003001703","Census Tract 17.03, Cochise County, Arizona","78162","36580","null","null",
"1400000US04003001800","Census Tract 18, Cochise County, Arizona","54986","44025","null","null",
"1400000US04003001900","Census Tract 19, Cochise County, Arizona","86026","56396","null","null",
"1400000US04003002001","Census Tract 20.01, Cochise County, Arizona","38966","12865","null","null",
"1400000US04003002002","Census Tract 20.02, Cochise County, Arizona","78679","19226","null","null",
"1400000US04003002100","Census Tract 21, Cochise County, Arizona","48009","16984","null","null",
"1400000US04005000100","Census Tract 1, Coconino County, Arizona","-","**","**","-",
"1400000US04005000200","Census Tract 2, Coconino County, Arizona","57750","42697","null","null",
"1400000US04005000300","Census Tract 3, Coconino County, Arizona","43550","12653","null","null",
"1400000US04005000400","Census Tract 4, Coconino County, Arizona","59732","23302","null","null",
"1400000US04005000500","Census Tract 5, Coconino County, Arizona","54286","51515","null","null",
"1400000US04005000600","Census Tract 6, Coconino County, Arizona","42350","39139","null","null",
"1400000US04005000700","Census Tract 7, Coconino County, Arizona","79130","13769","null","null",
"1400000US04005000800","Census Tract 8, Coconino County, Arizona","31887","4015","null","null",
"1400000US04005000900","Census Tract 9, Coconino County, Arizona","66944","29484","null","null",
"1400000US04005001000","Census Tract 10, Coconino County, Arizona","34297","10509","null","null",
"1400000US04005001101","Census Tract 11.01, Coconino County, Arizona","44306","22477","null","null",
"1400000US04005001102","Census Tract 11.02, Coconino County, Arizona","49868","18202","null","null",
"1400000US04005001200","Census Tract 12, Coconino County, Arizona","32763","25640","null","null",
"1400000US04005001301","Census Tract 13.01, Coconino County, Arizona","75662","43252","null","null",
"1400000US04005001302","Census Tract 13.02, Coconino County, Arizona","69833","11911","null","null",
"1400000US04005001500","Census Tract 15, Coconino County, Arizona","54375","43178","null","null",
"1400000US04005001600","Census Tract 16, Coconino County, Arizona","15385","13128","null","null",
"1400000US04005001700","Census Tract 17, Coconino County, Arizona","49375","31365","null","null",
"1400000US04005002000","Census Tract 20, Coconino County, Arizona","-","**","**","-",
"1400000US04005002100","Census Tract 21, Coconino County, Arizona","58425","11803","null","null",
"1400000US04005002200","Census Tract 22, Coconino County, Arizona","106607","34959","null","null",
"1400000US04005002300","Census Tract 23, Coconino County, Arizona","41934","15838","null","null",
"1400000US04005942201","Census Tract 9422.01, Coconino County, Arizona","-","**","**","-",
"1400000US04005942202","Census Tract 9422.02, Coconino County, Arizona","-","**","**","-",
"1400000US04005944900","Census Tract 9449, Coconino County, Arizona","-","**","**","-",
"1400000US04005945000","Census Tract 9450, Coconino County, Arizona","-","**","**","-",
"1400000US04005945100","Census Tract 9451, Coconino County, Arizona","-","**","**","-",
"1400000US04005945200","Census Tract 9452, Coconino County, Arizona","-","**","**","-",
"1400000US04007000100","Census Tract 1, Gila County, Arizona","-","**","**","-",
"1400000US04007000200","Census Tract 2, Gila County, Arizona","-","**","**","-",
"1400000US04007000301","Census Tract 3.01, Gila County, Arizona","22981","5978","null","null",
"1400000US04007000302","Census Tract 3.02, Gila County, Arizona","-","**","**","-",
"1400000US04007000400","Census Tract 4, Gila County, Arizona","43594","25653","null","null",
"1400000US04007000500","Census Tract 5, Gila County, Arizona","42377","21427","null","null",
"1400000US04007000600","Census Tract 6, Gila County, Arizona","-","**","**","-",
"1400000US04007000700","Census Tract 7, Gila County, Arizona","-","**","**","-",
"1400000US04007000800","Census Tract 8, Gila County, Arizona","33571","8947","null","null",
"1400000US04007000900","Census Tract 9, Gila County, Arizona","32685","15848","null","null",
"1400000US04007001000","Census Tract 10, Gila County, Arizona","40466","26054","null","null",
"1400000US04007001100","Census Tract 11, Gila County, Arizona","46481","20367","null","null",
"1400000US04007001200","Census Tract 12, Gila County, Arizona","68594","37637","null","null",
"1400000US04007001300","Census Tract 13, Gila County, Arizona","39344","4869","null","null",
"1400000US04007940200","Census Tract 9402, Gila County, Arizona","-","**","**","-",
"1400000US04007940400","Census Tract 9404, Gila County, Arizona","-","**","**","-",
"1400000US04009940500","Census Tract 9405, Graham County, Arizona","-","**","**","-",
"1400000US04009961100","Census Tract 9611, Graham County, Arizona","39750","10012","null","null",
"1400000US04009961201","Census Tract 9612.01, Graham County, Arizona","26653","14748","null","null",
"1400000US04009961202","Census Tract 9612.02, Graham County, Arizona","50000","32124","null","null",
"1400000US04009961300","Census Tract 9613, Graham County, Arizona","32321","23002","null","null",
"1400000US04009961400","Census Tract 9614, Graham County, Arizona","61250","27260","null","null",
"1400000US04009961500","Census Tract 9615, Graham County, Arizona","42171","21461","null","null",
"1400000US04009961600","Census Tract 9616, Graham County, Arizona","49559","11615","null","null",
"1400000US04009961700","Census Tract 9617, Graham County, Arizona","52339","10968","null","null",
"1400000US04011960100","Census Tract 9601, Greenlee County, Arizona","41875","7334","null","null",
"1400000US04011960200","Census Tract 9602, Greenlee County, Arizona","71544","11250","null","null",
"1400000US04011960300","Census Tract 9603, Greenlee County, Arizona","36524","8328","null","null",
"1400000US04012020100","Census Tract 201, La Paz County, Arizona","14591","13836","null","null",
"1400000US04012020201","Census Tract 202.01, La Paz County, Arizona","53750","31448","null","null",
"1400000US04012020202","Census Tract 202.02, La Paz County, Arizona","138355","81690","null","null",
"1400000US04012020501","Census Tract 205.01, La Paz County, Arizona","2,500-","***","***","2,500-",
"1400000US04012020502","Census Tract 205.02, La Paz County, Arizona","44356","22694","null","null",
"1400000US04012020602","Census Tract 206.02, La Paz County, Arizona","-","**","**","-",
"1400000US04012940200","Census Tract 9402, La Paz County, Arizona","49100","12144","null","null",
"1400000US04012940300","Census Tract 9403, La Paz County, Arizona","34250","13597","null","null",
"1400000US04012980000","Census Tract 9800, La Paz County, Arizona","-","**","**","-",
"1400000US04013010101","Census Tract 101.01, Maricopa County, Arizona","157059","118386","null","null",
"1400000US04013010102","Census Tract 101.02, Maricopa County, Arizona","-","**","**","-",
"1400000US04013030401","Census Tract 304.01, Maricopa County, Arizona","-","**","**","-",
"1400000US04013030402","Census Tract 304.02, Maricopa County, Arizona","-","**","**","-",
"1400000US04013040502","Census Tract 405.02, Maricopa County, Arizona","44063","40853","null","null",
"1400000US04013040506","Census Tract 405.06, Maricopa County, Arizona","-","**","**","-",
"1400000US04013040507","Census Tract 405.07, Maricopa County, Arizona","-","**","**","-",
"1400000US04013040512","Census Tract 405.12, Maricopa County, Arizona","-","**","**","-",
"1400000US04013040513","Census Tract 405.13, Maricopa County, Arizona","-","**","**","-",
