"GEO_ID","NAME","B19013I_001E","B19013I_001EA","B19013I_001M","B19013I_001MA",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2014 Inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2014 Inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2014 Inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2014 Inflation-adjusted dollars)",
"1400000US04001942600","Census Tract 9426, Apache County, Arizona","-","-","**","**",
"1400000US04001942700","Census Tract 9427, Apache County, Arizona","-","-","**","**",
"1400000US04001944000","Census Tract 9440, Apache County, Arizona","75179","null","116512","null",
"1400000US04001944100","Census Tract 9441, Apache County, Arizona","-","-","**","**",
"1400000US04001944201","Census Tract 9442.01, Apache County, Arizona","-","-","**","**",
"1400000US04001944202","Census Tract 9442.02, Apache County, Arizona","-","-","**","**",
"1400000US04001944300","Census Tract 9443, Apache County, Arizona","-","-","**","**",
"1400000US04001944901","Census Tract 9449.01, Apache County, Arizona","-","-","**","**",
"1400000US04001944902","Census Tract 9449.02, Apache County, Arizona","-","-","**","**",
"1400000US04001945001","Census Tract 9450.01, Apache County, Arizona","-","-","**","**",
"1400000US04001945002","Census Tract 9450.02, Apache County, Arizona","9583","null","97156","null",
"1400000US04001945100","Census Tract 9451, Apache County, Arizona","-","-","**","**",
"1400000US04001970200","Census Tract 9702, Apache County, Arizona","33664","null","4075","null",
"1400000US04001970300","Census Tract 9703, Apache County, Arizona","33182","null","10823","null",
"1400000US04001970501","Census Tract 9705.01, Apache County, Arizona","36220","null","13908","null",
"1400000US04001970502","Census Tract 9705.02, Apache County, Arizona","33333","null","30631","null",
"1400000US04003000100","Census Tract 1, Cochise County, Arizona","22813","null","11731","null",
"1400000US04003000201","Census Tract 2.01, Cochise County, Arizona","58083","null","24305","null",
"1400000US04003000202","Census Tract 2.02, Cochise County, Arizona","42522","null","11172","null",
"1400000US04003000203","Census Tract 2.03, Cochise County, Arizona","29667","null","24064","null",
"1400000US04003000301","Census Tract 3.01, Cochise County, Arizona","50500","null","45451","null",
"1400000US04003000302","Census Tract 3.02, Cochise County, Arizona","73000","null","65380","null",
"1400000US04003000303","Census Tract 3.03, Cochise County, Arizona","64531","null","44690","null",
"1400000US04003000400","Census Tract 4, Cochise County, Arizona","37188","null","14777","null",
"1400000US04003000500","Census Tract 5, Cochise County, Arizona","40000","null","8750","null",
"1400000US04003000600","Census Tract 6, Cochise County, Arizona","19712","null","8535","null",
"1400000US04003000700","Census Tract 7, Cochise County, Arizona","26718","null","4112","null",
"1400000US04003000800","Census Tract 8, Cochise County, Arizona","28897","null","6631","null",
"1400000US04003000901","Census Tract 9.01, Cochise County, Arizona","20353","null","3807","null",
"1400000US04003000902","Census Tract 9.02, Cochise County, Arizona","21355","null","5178","null",
"1400000US04003001000","Census Tract 10, Cochise County, Arizona","24554","null","24165","null",
"1400000US04003001100","Census Tract 11, Cochise County, Arizona","26385","null","11248","null",
"1400000US04003001200","Census Tract 12, Cochise County, Arizona","29500","null","14899","null",
"1400000US04003001300","Census Tract 13, Cochise County, Arizona","37768","null","30360","null",
"1400000US04003001401","Census Tract 14.01, Cochise County, Arizona","80455","null","57894","null",
"1400000US04003001402","Census Tract 14.02, Cochise County, Arizona","61583","null","3764","null",
"1400000US04003001501","Census Tract 15.01, Cochise County, Arizona","29760","null","3475","null",
"1400000US04003001502","Census Tract 15.02, Cochise County, Arizona","31875","null","19713","null",
"1400000US04003001601","Census Tract 16.01, Cochise County, Arizona","46823","null","21523","null",
"1400000US04003001602","Census Tract 16.02, Cochise County, Arizona","14257","null","28302","null",
"1400000US04003001701","Census Tract 17.01, Cochise County, Arizona","74453","null","20515","null",
"1400000US04003001702","Census Tract 17.02, Cochise County, Arizona","39500","null","56293","null",
"1400000US04003001703","Census Tract 17.03, Cochise County, Arizona","53390","null","6066","null",
"1400000US04003001800","Census Tract 18, Cochise County, Arizona","84375","null","61181","null",
"1400000US04003001900","Census Tract 19, Cochise County, Arizona","116607","null","63904","null",
"1400000US04003002001","Census Tract 20.01, Cochise County, Arizona","36513","null","18796","null",
"1400000US04003002002","Census Tract 20.02, Cochise County, Arizona","79881","null","37002","null",
"1400000US04003002100","Census Tract 21, Cochise County, Arizona","50592","null","62244","null",
"1400000US04005000100","Census Tract 1, Coconino County, Arizona","84722","null","400474","null",
"1400000US04005000200","Census Tract 2, Coconino County, Arizona","53182","null","51883","null",
"1400000US04005000300","Census Tract 3, Coconino County, Arizona","27368","null","13703","null",
"1400000US04005000400","Census Tract 4, Coconino County, Arizona","90208","null","68235","null",
"1400000US04005000500","Census Tract 5, Coconino County, Arizona","65806","null","12489","null",
"1400000US04005000600","Census Tract 6, Coconino County, Arizona","53947","null","53391","null",
"1400000US04005000700","Census Tract 7, Coconino County, Arizona","73466","null","18166","null",
"1400000US04005000800","Census Tract 8, Coconino County, Arizona","35134","null","8594","null",
"1400000US04005000900","Census Tract 9, Coconino County, Arizona","16979","null","32070","null",
"1400000US04005001000","Census Tract 10, Coconino County, Arizona","33778","null","1074","null",
"1400000US04005001101","Census Tract 11.01, Coconino County, Arizona","65966","null","22281","null",
"1400000US04005001102","Census Tract 11.02, Coconino County, Arizona","28600","null","27492","null",
"1400000US04005001200","Census Tract 12, Coconino County, Arizona","63750","null","46447","null",
"1400000US04005001301","Census Tract 13.01, Coconino County, Arizona","81094","null","109087","null",
"1400000US04005001302","Census Tract 13.02, Coconino County, Arizona","82647","null","65453","null",
